Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,42,2.41,50,2.16,45,3.63,37,3.14,36,2.36,36,2.20,36,2.30,43,2.49,34,2.55,34,2.24,35,2.38,37,2.33,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,2.78,84,2.21,81,4.55,78,4.52,77,3.38,76,2.87,74,2.80,75,2.56,71,3.96,72,3.15,71,3.32,72,3.41,0.44
F,4,Havertz,8.1,8.1,Arsenal,90,4.14,86,3.04,82,5.52,81,5.69,80,4.26,79,4.00,77,4.01,79,3.88,78,4.93,78,4.39,76,4.44,77,4.20,0.03
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,53,1.80,43,1.23,44,2.46,44,2.51,45,2.01,42,1.64,41,1.59,43,1.50,41,2.27,43,1.93,39,1.81,42,1.96,0.00
M,7,Jorginho,4.9,4.9,Arsenal,63,1.99,38,1.24,37,1.56,32,1.39,31,1.22,30,1.15,32,1.16,29,1.05,21,0.95,23,0.93,23,0.95,20,0.84,0.00
D,8,Kiwior,4.9,4.9,Arsenal,11,0.37,7,0.22,9,0.44,9,0.45,10,0.39,11,0.41,10,0.37,11,0.40,11,0.53,11,0.45,12,0.52,12,0.51,0.00
M,9,Martinelli,6.9,6.9,Arsenal,54,3.02,47,2.05,43,3.32,41,3.26,39,2.46,38,2.23,39,2.36,46,2.58,35,2.62,36,2.32,36,2.44,36,2.33,0.00
M,10,Nelson,5.0,5.0,Arsenal,29,1.48,36,1.71,38,1.75,38,1.38,38,1.74,39,1.79,38,1.92,40,1.70,40,2.03,38,1.54,39,1.78,0,0.00,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,51,3.04,65,3.27,67,3.31,65,2.95,64,3.06,62,3.08,64,3.11,65,3.43,64,2.74,64,3.34,64,3.32,62,2.46,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,22,0.98,14,0.56,14,0.74,10,0.56,8,0.41,8,0.43,10,0.49,14,0.65,8,0.47,7,0.40,8,0.42,8,0.44,0.00
M,13,Ødegaard,8.4,8.4,Arsenal,0,0.00,4,0.17,33,2.36,70,5.19,83,4.64,84,4.43,83,4.43,83,4.09,81,5.37,82,4.66,82,4.89,80,4.49,0.02
G,14,Ramsdale,4.4,4.4,Southampton,94,3.15,93,3.54,92,3.08,91,2.98,91,3.40,91,3.01,90,3.42,89,3.13,91,2.89,90,2.93,90,2.91,91,2.99,0.01
