Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,Elite%
M,1,Fábio Vieira,5.4,5.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,2,G.Jesus,6.8,6.8,Arsenal,0,0.00,12,0.80,28,1.40,33,2.70,33,2.69,34,2.25,36,2.25,37,2.31,37,2.21,36,2.80,39,2.55,38,2.65,0.00
D,3,Gabriel,6.0,6.0,Arsenal,88,4.11,83,3.19,81,2.37,80,4.66,80,4.62,78,3.52,75,2.89,78,3.05,75,2.70,76,4.28,74,3.25,74,3.56,0.45
F,4,Havertz,8.1,8.1,Arsenal,88,5.39,86,4.27,81,3.17,79,5.46,78,5.64,78,4.30,78,4.05,76,4.03,77,3.82,78,5.24,77,4.28,76,4.52,0.01
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,56,2.67,51,1.97,48,1.47,48,2.69,44,2.54,44,2.01,43,1.72,45,1.76,43,1.57,45,2.45,44,1.94,46,2.19,0.00
M,7,Jorginho,4.9,4.9,Arsenal,23,0.97,29,1.09,26,0.94,22,0.99,19,0.89,20,0.82,19,0.80,20,0.83,21,0.84,22,0.98,22,0.91,21,0.90,0.00
D,8,Kiwior,4.9,4.9,Arsenal,8,0.36,12,0.45,10,0.31,11,0.55,11,0.53,10,0.40,10,0.37,9,0.33,9,0.34,9,0.47,10,0.43,9,0.41,0.00
M,9,Martinelli,7.0,7.0,Arsenal,48,3.37,44,2.57,43,2.00,41,3.25,43,3.44,41,2.58,41,2.43,40,2.37,41,2.32,40,3.14,39,2.48,40,2.82,0.00
M,10,Nelson,5.0,5.0,Arsenal,6,0.40,32,1.55,37,1.75,39,1.79,39,1.40,39,1.78,40,1.82,39,1.91,40,1.68,41,2.07,40,1.60,41,1.90,0.00
F,11,Nketiah,5.9,5.9,Crystal Palace,9,0.55,52,3.22,67,3.67,66,3.54,65,3.13,63,3.29,63,3.28,63,3.29,62,3.57,64,2.98,63,3.45,64,3.65,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,15,0.74,13,0.57,11,0.47,10,0.57,10,0.55,9,0.47,10,0.47,11,0.52,10,0.47,12,0.61,12,0.56,12,0.57,0.00
M,13,Ødegaard,8.4,8.4,Arsenal,90,5.45,88,4.46,87,3.53,84,6.04,84,6.15,84,4.72,86,4.62,85,4.48,86,4.34,84,5.86,84,4.76,83,5.13,0.03
G,14,Ramsdale,4.4,4.4,Arsenal,94,3.28,93,3.24,93,3.64,92,3.12,92,3.03,91,3.46,91,2.99,91,3.45,90,3.19,90,2.88,91,3.03,90,2.98,0.00
G,15,Raya,5.5,5.5,Arsenal,93,3.93,93,3.58,92,3.39,92,4.33,91,4.30,91,3.82,92,3.53,91,3.55,91,3.46,90,4.21,90,3.73,90,3.84,0.09
M,16,Rice,6.4,6.4,Arsenal,88,3.40,86,2.90,83,2.40,79,3.49,78,3.60,78,2.86,78,2.73,78,2.68,78,2.62,76,3.29,76,2.82,75,2.94,0.00
M,17,Saka,10.1,10.0,Arsenal,87,6.72,84,5.22,83,3.96,78,7.25,77,7.21,79,5.37,76,5.01,77,4.93,77,4.83,76,6.55,78,5.39,77,6.00,0.90
D,18,Saliba,6.0,6.0,Arsenal,92,3.90,88,3.00,85,2.24,82,4.22,81,4.23,83,3.34,82,2.84,83,2.87,82,2.64,80,4.05,82,3.21,81,3.48,0.08
M,19,Smith Rowe,5.6,5.6,Fulham,73,3.59,68,3.39,67,3.22,67,3.13,67,2.27,63,2.95,64,3.00,62,3.26,61,2.59,62,3.35,62,2.53,62,3.04,0.19
M,20,Thomas,5.0,5.0,Arsenal,57,2.18,49,1.75,40,1.31,37,1.64,32,1.47,33,1.33,34,1.27,33,1.25,33,1.22,32,1.40,31,1.21,34,1.39,0.00
D,21,Tierney,4.4,4.4,Arsenal,0,0.00,0,0.00,4,0.18,4,0.26,3,0.21,4,0.23,3,0.17,4,0.19,4,0.21,4,0.23,4,0.23,4,0.23,0.00
D,22,Tomiyasu,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,5,0.24,13,0.69,19,0.85,25,1.00,24,0.95,25,0.95,25,1.34,25,1.09,24,1.13,0.00
M,23,Trossard,6.9,6.9,Arsenal,63,4.17,59,3.33,52,2.37,51,4.06,50,3.98,49,3.14,48,2.88,48,2.83,46,2.59,48,3.53,46,3.00,48,3.23,0.00
D,24,White,6.5,6.5,Arsenal,86,3.90,83,3.04,81,2.27,80,4.37,76,4.20,75,3.24,76,2.83,74,2.75,76,2.61,74,3.94,74,3.08,74,3.33,0.00
D,25,Zinchenko,5.0,5.0,Arsenal,22,1.16,18,0.80,15,0.57,16,0.92,15,0.86,14,0.67,13,0.56,13,0.58,13,0.56,15,0.88,13,0.63,14,0.74,0.00
D,26,Alex Moreno,4.4,4.4,Nott'm Forest,36,1.71,43,0.96,52,1.53,54,2.37,55,1.30,52,2.06,52,2.01,52,2.04,52,1.78,53,0.99,54,2.69,54,0.94,0.00
F,27,Archer,5.0,5.0,Southampton,32,1.65,31,1.66,28,1.80,29,1.56,30,1.25,32,1.92,30,1.24,32,1.90,33,1.74,32,1.58,31,1.54,31,1.68,0.00
M,28,Bailey,6.5,6.5,Aston Villa,76,4.15,73,4.37,69,4.34,67,3.96,66,3.73,67,3.48,64,3.90,63,2.90,64,2.67,63,3.52,63,2.90,64,3.88,0.00
M,29,Barkley,5.4,5.4,Aston Villa,17,0.90,16,0.92,15,0.92,14,0.81,14,0.77,16,0.86,14,0.84,16,0.79,16,0.76,16,0.87,19,0.89,15,0.90,0.00
