Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%
M,1,Fábio Vieira,5.5,5.5,Arsenal,4,0.28,7,0.48,8,0.51,9,0.48,10,0.70,10,0.71,10,0.62,11,0.67,11,0.66,11,0.61,10,0.70,11,0.67,0.00
F,2,G.Jesus,6.9,6.9,Arsenal,27,1.73,31,2.16,32,2.01,32,1.63,34,2.85,34,2.92,38,2.57,38,2.46,40,2.48,38,2.24,41,3.13,41,2.73,0.00
D,3,Gabriel,6.0,6.0,Arsenal,90,3.72,86,4.24,83,3.12,81,2.53,79,4.59,77,4.54,77,3.62,75,3.07,76,3.11,77,2.82,75,4.30,74,3.46,0.45
F,4,Havertz,8.1,8.1,Arsenal,85,4.41,82,4.81,81,4.18,79,3.20,78,5.75,75,5.56,75,4.32,75,4.05,74,4.08,75,3.90,72,4.86,72,4.17,0.01
G,5,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,6,J.Timber,5.5,5.5,Arsenal,36,1.54,44,2.17,51,1.90,48,1.50,46,2.62,45,2.61,46,2.12,48,1.94,44,1.81,45,1.69,45,2.46,43,2.00,0.00
M,7,Jorginho,5.0,5.0,Arsenal,26,1.03,22,0.93,25,0.97,27,0.98,27,1.18,27,1.19,28,1.11,27,1.05,28,1.06,28,1.05,27,1.14,29,1.13,0.00
D,8,Kiwior,5.0,5.0,Arsenal,7,0.27,9,0.42,7,0.26,6,0.22,9,0.44,8,0.38,7,0.28,7,0.28,5,0.21,6,0.24,6,0.27,7,0.33,0.00
M,9,Martinelli,7.0,7.0,Arsenal,58,3.40,54,3.52,51,3.00,50,2.38,49,4.03,51,4.12,48,3.09,50,3.08,48,2.92,48,2.76,48,3.61,48,3.09,0.00
M,10,Nelson,5.0,5.0,Arsenal,2,0.21,3,0.26,3,0.24,6,0.35,6,0.49,8,0.59,8,0.48,8,0.47,7,0.46,7,0.43,8,0.55,7,0.46,0.00
F,11,Nketiah,5.9,5.9,Nott'm Forest,4,0.32,32,1.86,30,1.28,35,1.58,35,1.85,35,1.46,33,1.63,35,1.69,34,1.80,36,1.81,33,1.23,34,2.00,0.00
M,12,Nwaneri,4.5,4.5,Arsenal,5,0.30,5,0.33,8,0.42,7,0.38,9,0.53,10,0.57,9,0.46,8,0.44,11,0.52,10,0.47,11,0.55,12,0.56,0.00
M,13,Ødegaard,8.5,8.5,Arsenal,91,4.78,88,5.23,86,4.50,86,3.61,84,6.23,84,6.30,84,4.85,84,4.80,84,4.52,84,4.32,81,5.68,82,4.72,0.03
G,14,Ramsdale,4.5,4.5,Arsenal,2,0.08,2,0.11,4,0.15,3,0.13,5,0.22,6,0.27,6,0.26,7,0.27,6,0.25,6,0.24,7,0.35,8,0.33,0.00
G,15,Raya,5.5,5.5,Arsenal,93,3.77,93,4.02,91,3.50,92,3.37,90,4.27,89,4.21,89,3.79,88,3.46,89,3.51,89,3.41,88,4.12,87,3.65,0.09
M,16,Rice,6.5,6.5,Arsenal,84,2.94,84,3.30,82,2.82,82,2.41,81,3.66,80,3.59,80,3.02,79,2.87,79,2.80,78,2.61,77,3.33,75,2.87,0.00
M,17,Saka,10.0,10.0,Arsenal,85,5.49,85,6.40,84,5.33,82,4.14,80,7.50,78,7.40,78,5.50,78,5.44,78,5.28,80,4.98,79,6.85,79,5.64,0.90
D,18,Saliba,6.0,6.0,Arsenal,92,3.45,88,3.92,87,2.96,86,2.46,83,4.38,84,4.34,83,3.51,83,3.04,82,2.96,82,2.74,83,4.25,83,3.50,0.08
M,19,Smith Rowe,5.5,5.5,Fulham,74,3.95,70,3.49,67,3.40,69,3.36,66,3.10,65,2.25,64,3.00,63,3.00,65,3.44,64,2.73,65,3.40,64,2.64,0.19
