Pos,ID,Name,BV,SV,Team,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts
D,1,Cédric,4.2,4.2,Fulham,14,0.45,15,0.68,17,0.50,18,0.77,18,0.61,21,0.64,21,0.33,21,0.95,22,0.92
G,2,Leno,4.5,4.5,Fulham,88,3.28,88,3.84,86,3.20,86,3.71,86,3.27,85,3.17,84,1.86,84,3.88,83,3.51
M,3,Xhaka,5.0,5.0,Arsenal,78,2.98,74,5.23,71,2.51,67,2.91,67,2.95,66,2.42,64,2.62,62,3.82,61,1.96
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,1,0.07,3,0.25,4,0.18,5,0.24,5,0.28,6,0.24,7,0.36,7,0.51,6,0.22
M,6,Partey,4.7,4.7,Arsenal,52,1.98,71,4.95,70,2.45,67,2.85,67,2.88,69,2.47,68,2.69,66,3.96,66,2.07
M,7,Ødegaard,6.9,6.9,Arsenal,81,4.71,80,8.41,78,4.08,77,5.04,75,5.19,75,4.23,75,4.62,74,7.06,73,3.34
D,8,Tierney,4.6,4.6,Arsenal,14,0.73,18,1.64,20,0.98,21,1.25,20,1.20,21,1.04,23,1.37,22,1.86,22,0.85
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,73,3.82,70,6.18,69,3.32,68,3.92,67,4.09,66,3.05,66,3.81,65,5.38,65,2.29
F,11,Nketiah,6.7,6.7,Arsenal,80,4.96,77,8.82,75,4.20,73,5.13,64,4.74,50,3.08,35,2.38,36,3.89,37,1.96
M,12,Smith Rowe,5.6,5.6,Arsenal,13,0.86,17,2.01,20,1.19,22,1.58,24,1.73,19,1.23,20,1.32,22,2.23,23,1.22
M,13,Saka,8.2,8.1,Arsenal,84,5.50,80,9.57,78,4.62,77,5.74,73,5.86,72,4.60,70,5.00,68,7.59,69,3.58
D,14,Tomiyasu,4.2,4.2,Arsenal,31,1.59,36,3.15,40,1.88,44,2.50,48,2.81,46,2.11,48,2.64,48,3.81,47,1.62
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.23,87,7.67,86,3.93,86,4.59,85,4.43,84,3.76,84,4.26,85,6.19,85,3.39
D,16,Gabriel,5.2,5.1,Arsenal,82,4.56,79,7.17,76,3.71,76,4.64,72,4.68,73,3.46,71,4.24,73,6.28,72,2.49
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,26,0.85,27,0.95,28,0.97,27,0.93,31,1.24,30,1.15,0,0.00,29,1.21,30,1.08
M,19,Martinelli,6.7,6.3,Arsenal,73,4.50,71,7.98,69,3.88,68,4.73,66,4.86,66,3.96,65,4.32,64,6.57,63,3.13
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,10,0.42,10,0.45,10,0.40,13,0.56,10,0.45,12,0.48,12,0.15,11,0.73,11,0.45
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
