Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.00,4,0.14,3,0.25,4,0.17,6,0.23,5,0.26,5,0.22,6,0.19,6,0.30
G,2,Leno,4.5,4.5,Fulham,89,3.38,88,3.25,87,3.81,87,3.19,84,3.69,85,3.23,84,3.14,84,1.00,85,3.62
M,3,Xhaka,5.0,5.0,Arsenal,81,2.73,80,2.91,77,5.28,74,2.54,72,2.57,75,3.13,73,2.54,70,2.04,71,2.79
M,4,Elneny,4.2,4.2,Arsenal,8,0.24,9,0.29,9,0.63,10,0.35,12,0.43,11,0.40,12,0.43,14,0.38,12,0.46
D,5,Holding,4.2,4.2,Arsenal,1,0.05,6,0.27,5,0.37,6,0.21,8,0.30,5,0.26,8,0.29,8,0.29,6,0.24
M,6,Partey,4.8,4.8,Arsenal,82,2.69,79,2.78,78,5.23,77,2.60,72,2.55,72,3.01,73,2.50,71,2.05,70,2.74
M,7,Ødegaard,6.8,6.8,Arsenal,77,3.94,76,4.26,74,7.92,73,3.82,72,4.05,72,4.98,72,3.96,72,3.28,72,4.67
D,8,Tierney,4.7,4.7,Arsenal,23,1.01,25,1.28,24,2.20,27,1.28,28,1.40,27,1.70,26,1.25,27,1.20,26,1.44
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,77,3.01,77,3.69,75,6.14,72,3.17,72,3.30,72,4.11,71,3.17,70,2.88,70,3.62
F,11,Nketiah,6.6,6.6,Arsenal,80,4.33,78,4.48,55,6.49,42,2.46,27,1.66,29,2.19,27,1.63,31,1.51,29,2.08
M,12,Smith Rowe,5.6,5.6,Arsenal,25,1.43,25,1.60,24,2.95,24,1.46,26,1.59,27,1.90,28,1.71,28,1.41,29,1.96
M,13,Saka,8.1,8.0,Arsenal,83,4.88,67,4.46,77,9.57,75,4.65,71,4.64,71,5.95,71,4.62,69,3.82,70,5.49
D,14,Tomiyasu,4.2,4.2,Arsenal,29,1.23,42,2.11,38,3.28,43,1.96,47,2.24,46,2.71,46,2.08,50,2.05,46,2.41
G,15,Ramsdale,4.9,4.9,Arsenal,89,3.77,88,4.11,87,7.56,86,3.78,85,3.82,86,4.37,85,3.75,85,3.22,86,4.13
D,16,Gabriel,5.2,5.1,Arsenal,83,3.56,70,3.66,76,6.77,72,3.40,71,3.46,73,4.54,72,3.38,72,3.12,74,4.21
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,4,0.13,4,0.14,4,0.35,5,0.21,6,0.26,5,0.23,5,0.21,7,0.20,6,0.27
M,19,Martinelli,6.8,6.4,Arsenal,77,4.33,71,4.47,67,7.97,68,3.95,63,3.97,63,4.89,62,3.77,57,2.99,60,4.34
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,20,0.84,18,0.70,15,0.66,16,0.60,16,0.52,18,0.74,18,0.70,17,0.14,18,0.69
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,0,0.00,1,0.00,3,0.43,5,0.29,6,0.36,5,0.34,5,0.36,5,0.28,5,0.33
G,24,Turner,3.9,3.9,Arsenal,1,0.00,2,0.09,2,0.17,4,0.18,5,0.23,4,0.20,5,0.22,5,0.15,4,0.14
M,25,Fábio Vieira,5.7,5.7,Arsenal,16,0.88,18,1.06,15,1.65,14,0.73,16,0.88,12,0.83,13,0.75,15,0.70,15,0.91
D,26,Saliba,5.3,5.3,Arsenal,84,3.09,74,3.42,79,6.11,77,3.22,73,3.23,74,4.05,74,3.15,71,2.75,75,3.74
M,27,Marquinhos,4.6,4.6,Arsenal,2,0.14,3,0.22,2,0.23,2,0.07,1,0.08,2,0.09,2,0.08,2,0.12,2,0.08
F,28,Jesus,7.9,7.9,Arsenal,0,0.00,0,0.00,30,3.34,48,2.70,72,4.33,75,5.64,74,4.41,73,3.61,75,5.31
