Pos,ID,Name,BV,SV,Team,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts
D,1,Cédric,4.2,4.2,Arsenal,8,0.39,7,0.29,8,0.36,5,0.15,5,0.31,6,0.23,5,0.39,6,0.30,7,0.21
G,2,Leno,4.5,4.5,Fulham,88,3.45,87,3.73,86,6.46,86,3.11,86,3.21,85,3.06,84,3.75,84,3.11,82,2.93
M,3,Xhaka,5.1,5.1,Arsenal,80,2.94,77,2.58,73,2.57,73,2.35,71,4.53,76,2.72,76,5.29,75,3.01,70,2.02
M,4,Elneny,4.2,4.2,Arsenal,13,0.50,14,0.51,16,0.55,13,0.41,13,0.80,11,0.39,12,0.78,13,0.51,12,0.35
D,5,Holding,4.2,4.2,Arsenal,5,0.23,9,0.33,10,0.41,9,0.30,9,0.58,5,0.22,6,0.44,7,0.30,9,0.26
M,6,Partey,4.8,4.8,Arsenal,78,2.76,77,2.51,75,2.57,75,2.33,75,4.61,75,2.65,75,5.13,75,2.94,75,2.06
M,7,Ødegaard,6.4,6.4,Arsenal,71,4.04,70,3.50,71,3.80,72,3.45,70,6.90,69,3.84,70,7.53,69,4.32,65,2.81
D,8,Tierney,4.7,4.7,Arsenal,53,2.70,42,1.78,34,1.63,30,1.15,30,2.65,25,1.29,30,2.66,28,1.60,32,1.21
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,78,3.74,74,2.78,70,3.07,67,2.26,67,5.23,70,3.23,69,5.58,67,3.36,66,2.26
F,11,Nketiah,6.5,6.5,Arsenal,74,4.69,73,4.17,72,4.20,68,3.63,66,7.11,63,3.81,60,7.32,46,3.27,36,1.83
M,12,Smith Rowe,5.6,5.6,Arsenal,0,0.00,2,0.07,8,0.45,29,1.62,37,4.11,37,2.28,37,4.40,35,2.45,33,1.63
M,13,Saka,8.0,8.0,Arsenal,82,5.56,81,4.85,73,4.79,73,4.19,72,8.71,73,4.90,71,9.37,73,5.50,72,3.77
D,14,Tomiyasu,4.2,4.2,Arsenal,18,0.89,33,1.33,44,1.95,49,1.71,48,3.90,46,2.20,47,3.94,48,2.48,49,1.71
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.01,88,3.61,87,3.81,87,3.44,87,6.66,88,3.94,86,7.29,86,4.33,86,3.04
D,16,Gabriel,5.2,5.1,Arsenal,84,4.47,78,3.24,75,3.59,76,2.83,75,6.62,76,3.90,73,6.50,71,3.91,73,2.73
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,7,0.26,8,0.30,8,0.31,6,0.25,7,0.48,5,0.17,5,0.39,6,0.30,6,0.18
M,19,Martinelli,6.8,6.4,Arsenal,83,5.12,80,4.34,78,4.61,76,4.04,75,8.19,72,4.42,70,8.55,67,4.68,67,3.27
