Pos,ID,Name,BV,SV,Team,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,263,Burgess,3.9,3.9,Ipswich,84,2.83,79,1.11,49,1.1,28,0.74,23,0.7,20,0.57,21,0.56,23,0.59,23,0.34,23,0.5,22,0.5,23,0.59,0.01,84,79,49,28,23,20,21,23,23,23,22,23,2.83,1.11,1.1,0.74,0.7,0.57,0.56,0.59,0.34,0.5,0.5,0.59,2.83,84,10.13,418,TRUE,D3.9,D4Ipswich
D,338,Van den Berg,4,4,Brentford,84,2.19,77,2.53,68,2.13,63,2.67,62,1.43,61,1.79,63,1.16,62,2.32,62,1.42,63,1.56,63,2.1,63,1.31,0.05,84,77,68,63,62,61,63,62,62,63,63,63,2.19,2.53,2.13,2.67,1.43,1.79,1.16,2.32,1.42,1.56,2.1,1.31,2.67,84,22.61,791,TRUE,D4,D4Brentford
D,630,O'Shea,4,4,Ipswich,91,3.01,86,1.15,83,1.77,83,1.91,79,2.22,78,2.07,76,1.77,76,1.77,76,0.91,75,1.41,75,1.52,75,1.74,0.01,91,86,83,83,79,78,76,76,76,75,75,75,3.01,1.15,1.77,1.91,2.22,2.07,1.77,1.77,0.91,1.41,1.52,1.74,3.01,91,21.25,953,TRUE,D4,D4Ipswich
D,455,Bednarek,4,4,Southampton,91,2.81,87,2.16,86,1.24,83,1.35,81,1.5,82,1.33,79,1.39,78,1.56,77,2.18,76,1.6,73,1.99,77,1.14,0.01,91,87,86,83,81,82,79,78,77,76,73,77,2.81,2.16,1.24,1.35,1.5,1.33,1.39,1.56,2.18,1.6,1.99,1.14,2.81,91,20.25,970,TRUE,D4,D4Southampton
D,301,Okoli,4,4,Leicester,92,2.42,87,1.35,84,1.58,81,1.66,79,2.24,77,1.81,77,1.25,78,2.39,76,0.69,78,1.17,75,1.28,78,2.2,0.01,92,87,84,81,79,77,77,78,76,78,75,78,2.42,1.35,1.58,1.66,2.24,1.81,1.25,2.39,0.69,1.17,1.28,2.2,2.42,92,20.04,962,TRUE,D4,D4Leicester
D,291,Faes,4.2,4.1,Leicester,91,2.51,87,1.41,86,1.67,81,1.71,82,2.35,81,1.91,81,1.34,80,2.48,81,0.75,80,1.26,80,1.39,82,2.35,0.1,91,87,86,81,82,81,81,80,81,80,80,82,2.51,1.41,1.67,1.71,2.35,1.91,1.34,2.48,0.75,1.26,1.39,2.35,2.51,91,21.13,992,TRUE,D4.1,D4Leicester
D,461,Harwood-Bellis,4.1,4.1,Southampton,81,2.71,81,2.17,77,1.3,76,1.37,73,1.52,71,1.29,70,1.36,67,1.5,67,2.02,69,1.6,70,2.05,71,1.16,0.06,81,81,77,76,73,71,70,67,67,69,70,71,2.71,2.17,1.3,1.37,1.52,1.29,1.36,1.5,2.02,1.6,2.05,1.16,2.71,81,20.05,873,TRUE,D4.1,D4Southampton
D,191,Andersen,4.3,4.3,Fulham,90,3.19,87,2.77,85,3.3,85,1.53,85,2.66,83,2.14,83,1.28,79,3.37,81,1.57,79,2.76,80,3.42,82,2.37,0.08,90,87,85,85,85,83,83,79,81,79,80,82,3.19,2.77,3.3,1.53,2.66,2.14,1.28,3.37,1.57,2.76,3.42,2.37,3.42,90,30.36,999,TRUE,D4.3,D4.5Fulham
D,399,Hall,4.3,4.3,Newcastle,76,2.27,77,2.85,70,3.09,70,2.4,68,1.93,64,2.18,63,3.25,64,2.68,62,2.36,59,1.7,53,1.33,57,2.59,0,76,77,70,70,68,64,63,64,62,59,53,57,2.27,2.85,3.09,2.4,1.93,2.18,3.25,2.68,2.36,1.7,1.33,2.59,3.25,77,28.63,783,TRUE,D4.3,D4.5Newcastle
D,567,Toti,4.3,4.3,Wolves,90,2.9,73,2.63,74,1.86,72,2.3,77,2.26,76,1.95,76,2.93,78,2.5,78,2.04,76,1.17,78,2.73,80,1.58,0,90,73,74,72,77,76,76,78,78,76,78,80,2.9,2.63,1.86,2.3,2.26,1.95,2.93,2.5,2.04,1.17,2.73,1.58,2.93,90,26.85,928,TRUE,D4.3,D4.5Wolves
