Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
F,589,Füllkrug,6.7,6.7,West Ham,24,1.39,42,2.78,45,2.33,44,2.62,44,2.42,44,2.95,44,2.4,43,2.07,45,2.62,44,3.03,45,2.53,44,2.55,0,24,42,45,44,44,44,44,43,45,44,45,44,1.39,2.78,2.33,2.62,2.42,2.95,2.4,2.07,2.62,3.03,2.53,2.55,3.03,45,29.69,508,TRUE,F6.7,F6.5West Ham
F,27,Archer,5,5,Southampton,62,3.01,59,2.25,57,3.28,56,2.06,55,3.18,55,2.83,53,2.49,53,2.39,52,2.6,53,2.41,53,2.68,53,2.52,0,62,59,57,56,55,55,53,53,52,53,53,53,3.01,2.25,3.28,2.06,3.18,2.83,2.49,2.39,2.6,2.41,2.68,2.52,3.28,62,31.7,661,TRUE,F5,F5Southampton
F,566,Strand Larsen,5.5,5.5,Wolves,72,2.93,69,3.12,67,2.43,65,2.7,65,3.15,66,3.65,65,2.75,64,3.22,65,2.98,63,2.75,63,3.4,65,2.95,0,72,69,67,65,65,66,65,64,65,63,63,65,2.93,3.12,2.43,2.7,3.15,3.65,2.75,3.22,2.98,2.75,3.4,2.95,3.65,72,36.03,789,TRUE,F5.5,F5.5Wolves
F,306,Vardy,5.7,5.7,Leicester,80,2.91,77,4.34,70,3.82,64,3.64,63,3.25,59,2.68,58,3.06,60,2.96,58,3.39,58,3.04,57,2.67,58,3.52,0.15,80,77,70,64,63,59,58,60,58,58,57,58,2.91,4.34,3.82,3.64,3.25,2.68,3.06,2.96,3.39,3.04,2.67,3.52,4.34,80,39.28,762,TRUE,F5.7,F5.5Leicester
F,268,Delap,5.5,5.5,Ipswich,63,3.07,63,2.98,61,3.29,59,2.79,60,3.29,57,2.39,57,2.71,57,2.61,58,2.87,57,3,56,2.73,56,2.76,0,63,63,61,59,60,57,57,57,58,57,56,56,3.07,2.98,3.29,2.79,3.29,2.39,2.71,2.61,2.87,3,2.73,2.76,3.29,63,34.49,704,TRUE,F5.5,F5.5Ipswich
F,252,Raúl,5.4,5.4,Fulham,64,3.14,58,2.3,56,2.97,57,2.96,54,3.1,54,2.71,54,3.38,55,2.52,57,3.03,53,2.26,52,2.25,53,3.48,0,64,58,56,57,54,54,54,55,57,53,52,53,3.14,2.3,2.97,2.96,3.1,2.71,3.38,2.52,3.03,2.26,2.25,3.48,3.48,64,34.1,667,TRUE,F5.4,F5.5Fulham
F,232,Ndiaye,5.4,5.4,Everton,72,3.13,69,3.02,67,2.87,66,2.96,65,2.94,64,2.64,67,3,65,2.45,65,3.1,66,2.5,65,2.11,65,2.72,0,72,69,67,66,65,64,67,65,65,66,65,65,3.13,3.02,2.87,2.96,2.94,2.64,3,2.45,3.1,2.5,2.11,2.72,3.13,72,33.44,796,TRUE,F5.4,F5.5Everton
F,129,João Pedro,5.6,5.5,Brighton,0,0,73,4.34,71,3.78,69,4.82,69,3.22,67,3.05,66,3.66,65,4.84,66,3.53,64,3.81,65,4.09,64,3.56,0.84,0,73,71,69,69,67,66,65,66,64,65,64,0,4.34,3.78,4.82,3.22,3.05,3.66,4.84,3.53,3.81,4.09,3.56,4.84,73,42.7,739,TRUE,F5.5,F5.5Brighton
F,473,Stewart,4.5,4.5,Southampton,22,1.31,23,1.06,25,1.63,25,1.12,25,1.6,26,1.56,24,1.3,26,1.39,27,1.53,27,1.4,26,1.47,26,1.4,0.04,22,23,25,25,25,26,24,26,27,27,26,26,1.31,1.06,1.63,1.12,1.6,1.56,1.3,1.39,1.53,1.4,1.47,1.4,1.63,27,16.77,302,FALSE,F4.5,F4.5Southampton
F,351,Haaland,15.3,15.3,Man City,89,6.43,84,7.26,82,6.66,79,8.37,79,5.96,79,5.34,76,6.22,75,4.52,78,6.99,76,5.46,75,6.12,76,5.2,0.74,89,84,82,79,79,79,76,75,78,76,75,76,6.43,7.26,6.66,8.37,5.96,5.34,6.22,4.52,6.99,5.46,6.12,5.2,8.37,89,74.53,948,TRUE,F15.3,F15.5Man City
D,311,Alexander-Arnold,7.1,7,Liverpool,83,4.7,80,4.21,77,3.77,77,2.59,77,4.25,74,4.1,73,4.29,72,2.71,74,3.12,73,4.07,72,4.4,74,2.77,0.78,83,80,77,77,77,74,73,72,74,73,72,74,4.7,4.21,3.77,2.59,4.25,4.1,4.29,2.71,3.12,4.07,4.4,2.77,4.7,83,44.98,906,TRUE,D7,D7Liverpool
D,350,Gvardiol,5.9,5.9,Man City,84,3.44,80,4.35,74,3.95,68,4.23,66,3.2,64,2.86,63,2.85,62,2.18,63,3.62,63,3.08,63,3.07,64,2.87,0.09,84,80,74,68,66,64,63,62,63,63,63,64,3.44,4.35,3.95,4.23,3.2,2.86,2.85,2.18,3.62,3.08,3.07,2.87,4.35,84,39.7,814,TRUE,D5.9,D6Man City
D,335,Robertson,6,6,Liverpool,83,4.43,80,3.99,78,3.59,76,2.42,76,3.98,75,3.86,74,4.04,74,2.64,75,2.92,72,3.69,74,4.17,75,2.62,0.25,83,80,78,76,76,75,74,74,75,72,74,75,4.43,3.99,3.59,2.42,3.98,3.86,4.04,2.64,2.92,3.69,4.17,2.62,4.43,83,42.35,912,TRUE,D6,D6Liverpool
D,339,Virgil,6,6,Liverpool,91,3.97,90,3.68,86,3.14,84,2.19,83,3.46,82,3.43,81,3.55,82,2.41,81,2.54,78,3.32,80,3.69,81,2.24,0.01,91,90,86,84,83,82,81,82,81,78,80,81,3.97,3.68,3.14,2.19,3.46,3.43,3.55,2.41,2.54,3.32,3.69,2.24,3.97,91,37.62,999,TRUE,D6,D6Liverpool
D,3,Gabriel,6.1,6,Arsenal,87,4.91,86,4.87,83,3.76,79,3.03,76,2.87,77,2.75,75,4.05,75,3.34,74,3.37,74,3.45,73,4.08,74,3.33,0.27,87,86,83,79,76,77,75,75,74,74,73,74,4.91,4.87,3.76,3.03,2.87,2.75,4.05,3.34,3.37,3.45,4.08,3.33,4.91,87,43.81,933,TRUE,D6,D6Arsenal
D,18,Saliba,6,6,Arsenal,92,4.71,89,4.54,86,3.55,85,2.95,84,2.89,82,2.62,81,3.92,81,3.27,81,3.34,80,3.38,81,4.07,81,3.38,0.05,92,89,86,85,84,82,81,81,81,80,81,81,4.71,4.54,3.55,2.95,2.89,2.62,3.92,3.27,3.34,3.38,4.07,3.38,4.71,92,42.62,1003,TRUE,D6,D6Arsenal
