Pos,ID,Name,BV,SV,Team,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
M,348,Foden,9.3,9.3,Man City,80,4.37,77,4.62,76,5.54,74,5.16,73,6.28,73,4.77,73,4.44,73,5.01,72,3.79,70,5.29,71,4.49,72,5.06,0,80,77,76,74,73,73,73,73,72,70,71,72,4.37,4.62,5.54,5.16,6.28,4.77,4.44,5.01,3.79,5.29,4.49,5.06,6.28,80,58.82,884,TRUE,M9.3,M9.5Man City
M,345,De Bruyne,9.6,9.6,Man City,57,3.15,72,4.37,70,5.12,69,4.85,65,5.55,67,4.38,67,4.12,66,4.58,68,3.61,64,4.82,65,4.2,64,4.54,0,57,72,70,69,65,67,67,66,68,64,65,64,3.15,4.37,5.12,4.85,5.55,4.38,4.12,4.58,3.61,4.82,4.2,4.54,5.55,72,53.29,794,TRUE,M9.6,M9.5Man City
M,327,Luis Díaz,7.8,7.8,Liverpool,70,4.64,69,4.25,65,3.57,64,3.73,64,2.73,62,3.75,64,3.9,61,3.98,61,2.84,61,3.27,61,3.69,62,3.98,0.01,70,69,65,64,64,62,64,61,61,61,61,62,4.64,4.25,3.57,3.73,2.73,3.75,3.9,3.98,2.84,3.27,3.69,3.98,4.64,70,44.33,764,TRUE,M7.8,M8Liverpool
M,366,B.Fernandes,8.4,8.4,Man Utd,90,5.24,88,5.36,86,4.72,85,5.89,85,4.8,84,5.2,82,6.33,82,5.25,83,6.23,82,3.46,81,5.56,82,3.3,0.54,90,88,86,85,85,84,82,82,83,82,81,82,5.24,5.36,4.72,5.89,4.8,5.2,6.33,5.25,6.23,3.46,5.56,3.3,6.33,90,61.34,1010,TRUE,M8.4,M8.5Man Utd
M,13,Ødegaard,8.3,8.3,Arsenal,0,0,0,0,0,0,0,0,23,1.24,62,3.3,83,4.07,82,5.16,81,4.38,81,4.75,80,4.29,80,5.35,0,0,0,0,0,23,62,83,82,81,81,80,80,0,0,0,0,1.24,3.3,4.07,5.16,4.38,4.75,4.29,5.35,5.35,83,32.54,572,TRUE,M8.3,M8.5Arsenal
M,385,Rashford,6.9,6.9,Man Utd,64,3.74,64,3.9,64,3.56,63,4.25,64,3.73,64,3.95,63,4.8,62,4.06,63,4.66,61,2.72,62,4.31,64,2.64,0,64,64,64,63,64,64,63,62,63,61,62,64,3.74,3.9,3.56,4.25,3.73,3.95,4.8,4.06,4.66,2.72,4.31,2.64,4.8,64,46.32,758,TRUE,M6.9,M7Man Utd
M,199,Eze,6.9,6.9,Crystal Palace,87,5.06,85,4.59,82,4.18,81,4.31,80,4.54,80,4.62,77,4.78,78,3.91,77,4.67,77,4.57,78,3.44,78,3.89,0.88,87,85,82,81,80,80,77,78,77,77,78,78,5.06,4.59,4.18,4.31,4.54,4.62,4.78,3.91,4.67,4.57,3.44,3.89,5.06,87,52.56,960,TRUE,M6.9,M7Crystal Palace
M,99,Mbeumo,7.1,7.1,Brentford,91,4.71,86,5.55,84,6.3,82,4.43,81,5.96,79,4.4,77,5.32,77,4.56,76,5.58,77,3.97,76,4.77,74,3.7,0.12,91,86,84,82,81,79,77,77,76,77,76,74,4.71,5.55,6.3,4.43,5.96,4.4,5.32,4.56,5.58,3.97,4.77,3.7,6.3,91,59.25,960,TRUE,M7.1,M7Brentford
M,23,Trossard,6.9,6.9,Arsenal,62,2.64,62,4.45,61,4.69,58,3.55,52,2.96,46,2.7,48,2.65,39,2.7,38,2.32,39,2.52,38,2.32,37,2.7,0,62,62,61,58,52,46,48,39,38,39,38,37,2.64,4.45,4.69,3.55,2.96,2.7,2.65,2.7,2.32,2.52,2.32,2.7,4.69,62,36.2,580,TRUE,M6.9,M7Arsenal
M,9,Martinelli,6.9,6.9,Arsenal,53,2.28,50,3.59,50,3.87,49,2.96,47,2.68,41,2.38,52,2.83,38,2.65,39,2.37,39,2.55,39,2.32,37,2.72,0,53,50,50,49,47,41,52,38,39,39,39,37,2.28,3.59,3.87,2.96,2.68,2.38,2.83,2.65,2.37,2.55,2.32,2.72,3.87,53,33.2,534,TRUE,M6.9,M7Arsenal
