Pos,ID,Name,BV,SV,Team,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
D,1,Cédric,4.2,4.2,Fulham,14,0.59,17,0.59,20,0.61,18,0.20,21,0.92,21,0.87,21,0.81,24,0.55,21,0.73
G,2,Leno,4.5,4.5,Fulham,89,3.78,87,3.34,87,3.28,86,1.38,85,3.99,85,3.58,84,3.49,84,2.02,84,3.21
M,3,Xhaka,4.9,4.9,Arsenal,76,5.75,71,3.04,71,2.56,70,2.80,67,2.67,66,2.09,67,2.33,66,1.71,65,1.91
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.15,3,0.10,3,0.13,4,0.20,2,0.10,6,0.16,4,0.13,5,0.15,5,0.12
M,6,Partey,4.7,4.7,Arsenal,48,3.62,72,2.96,72,2.51,70,2.71,70,2.68,71,2.15,67,2.28,65,1.64,68,1.93
M,7,Ødegaard,7.0,7.0,Arsenal,82,9.38,81,5.32,80,4.31,79,4.87,77,4.75,75,3.30,75,3.79,73,2.88,73,2.84
D,8,Tierney,4.6,4.6,Arsenal,13,1.22,13,0.73,14,0.66,15,0.85,16,0.79,14,0.51,17,0.80,20,0.69,17,0.53
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,71,7.03,72,4.04,70,3.09,71,4.03,67,3.46,67,2.06,67,2.96,66,2.31,67,1.73
F,11,Nketiah,6.8,6.8,Arsenal,73,8.96,58,4.07,36,2.13,32,2.12,29,1.97,28,1.49,29,1.66,29,1.25,30,1.37
M,12,Smith Rowe,5.6,5.6,Arsenal,4,0.54,6,0.40,7,0.41,9,0.63,16,1.03,19,1.03,24,1.32,25,1.03,25,1.16
M,13,Saka,8.4,8.2,Arsenal,84,11.38,79,6.31,78,4.88,76,5.61,75,5.53,76,3.89,73,4.33,71,3.43,73,3.25
