Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,,
D,270,Greaves,4,4,Ipswich,90,2.28,86,1.83,82,2.76,84,2.02,82,2.9,81,1.04,80,1.83,79,1.95,77,2.35,77,2.39,75,2.05,76,1.76,0.04,4,4
D,630,O'Shea,4,4,Ipswich,82,2.17,77,1.69,76,2.65,75,1.87,72,2.6,71,1,70,1.63,71,1.85,73,2.33,70,2.2,71,1.95,70,1.67,0,4,4
D,291,Faes,4.1,4.1,Leicester,91,1.11,85,2.58,82,2.36,80,2.66,82,2.43,82,1.36,79,1.72,81,2.04,78,2.42,77,2.13,80,1.33,78,2.74,0.12,4.1,4.1
D,301,Okoli,4,4,Leicester,85,1.02,82,2.37,80,2.21,78,2.49,75,2.22,75,1.23,75,1.58,73,1.79,72,2.13,72,1.92,74,1.2,72,2.44,0,4,4
D,455,Bednarek,4,4,Southampton,90,1.78,82,1.13,80,2.64,79,0.5,79,2.51,77,1.92,76,1.13,78,1.36,76,1.4,75,1.28,78,1.33,77,1.7,0.01,4,4
D,558,Mosquera,4,4,Wolves,22,0.44,55,1.59,82,1.37,80,1.71,79,2.63,79,2.99,76,2.03,75,2.48,74,2.13,73,1.86,75,2.91,73,2.27,0.04,4,4
D,6,J.Timber,5.5,5.5,Arsenal,67,3.8,55,3.02,53,2.42,48,1.89,47,1.8,45,1.68,47,2.46,45,2.03,47,2.13,46,2.15,44,2.43,46,2.12,0,5.5,5.5
D,361,Rúben,5.5,5.5,Man City,77,3.02,76,3.9,72,3.54,66,3.67,65,3,64,2.7,63,2.65,65,2.12,62,3.24,64,2.99,62,2.78,61,2.56,0,5.5,5.5
D,340,Akanji,5.5,5.5,Man City,77,2.96,71,3.65,67,3.27,62,3.39,61,2.78,60,2.48,59,2.48,57,1.83,58,3.06,61,2.76,59,2.65,60,2.5,0,5.5,5.5
D,415,Schär,5.4,5.4,Newcastle,91,1.97,87,3.32,83,3,84,1.84,83,2.13,82,2.72,80,3.08,81,2.6,82,2.03,79,2.57,80,3.56,81,3.03,0,5.4,5.4
D,495,Pedro Porro,5.6,5.5,Spurs,87,2.79,86,3.17,83,4.32,82,3.39,80,3.69,79,4.72,80,1.74,79,4.16,80,3.39,79,3.23,79,3.89,78,2.7,0.72,5.6,5.5
D,79,Senesi,4.8,4.8,Bournemouth,78,3.17,76,2.61,71,1.67,71,1.76,68,1.36,68,2.07,67,2.18,65,2.15,66,1.64,66,2.31,68,2.42,65,1.33,0,4.8,4.8
D,122,Estupiñan,5,5,Brighton,53,1.73,63,2.45,58,1.94,59,3.21,57,1.5,59,1.8,57,2.35,58,3.22,55,2.28,55,2.52,55,2.73,57,2.3,0,5,5
D,163,Cucurella,5,5,Chelsea,88,3.35,84,3.79,80,1.64,75,2.65,73,1.98,74,2.13,72,2.9,72,2.79,72,2.91,74,1.76,72,3.16,73,2.82,0,5,5
D,211,Muñoz,4.9,4.9,Crystal Palace,89,3.07,83,2.11,81,2.69,81,2.37,82,2.93,80,3.26,79,2.16,79,2.55,77,2.94,79,1.71,79,2.15,76,1.94,0.05,4.9,4.9
D,210,Mitchell,4.9,4.9,Crystal Palace,84,2.71,81,1.89,80,2.47,79,2.11,78,2.62,77,2.92,77,1.95,76,2.22,75,2.67,75,1.57,76,1.94,75,1.82,0,4.9,4.9
D,236,Tarkowski,4.8,4.8,Everton,92,3.04,89,2.28,86,2.69,84,2.81,85,2.58,83,2.05,81,2.69,81,1.45,84,3.04,84,1.59,83,1.12,82,1.88,0,4.8,4.8
D,219,Branthwaite,4.9,4.9,Everton,36,1.19,75,1.91,85,2.6,84,2.72,81,2.4,81,1.95,80,2.61,80,1.39,81,2.87,79,1.47,78,1.06,78,1.74,0,4.9,4.9
D,326,Konaté,5.1,5.1,Liverpool,72,2.88,67,2.35,63,2.17,63,1.57,63,2.51,61,2.4,62,2.54,60,1.7,59,1.74,63,2.51,61,2.65,62,1.65,0,5.1,5.1
D,369,Dalot,5,5,Man Utd,90,2.87,84,2.37,80,3.63,80,2.81,77,2.61,77,3.87,76,3.17,75,3.65,74,1.62,73,3.29,74,1.33,75,3.32,0,5,5
D,387,Shaw,4.9,4.9,Man Utd,36,1.24,64,1.84,78,3.45,76,2.68,74,2.5,70,3.48,72,3.04,72,3.43,75,1.62,72,3.26,71,1.29,70,3.13,0,4.9,4.9
D,505,Udogie,5,5,Spurs,84,2.41,80,2.63,76,3.44,76,2.86,76,3.1,73,3.83,74,1.44,74,3.44,72,2.74,73,2.63,71,3.13,73,2.23,0,5,5
D,498,Romero,5.1,5.1,Spurs,90,2.1,87,2.46,84,3.27,82,2.61,82,2.87,81,3.68,81,1.24,79,3.16,80,2.54,80,2.34,78,2.85,77,1.93,0,5.1,5.1
D,24,White,6.5,6.5,Arsenal,87,4.72,84,4.47,80,3.49,78,2.99,77,2.86,75,2.62,77,3.9,75,3.21,76,3.25,74,3.23,75,3.93,73,3.18,0,6.5,6.5
D,3,Gabriel,6,6,Arsenal,88,4.94,83,4.63,81,3.69,77,3.01,74,2.81,73,2.66,74,3.97,76,3.41,75,3.38,72,3.33,74,4.14,74,3.34,0.27,6,6
