Pos,ID,Name,BV,SV,Team,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,,
M,298,Mavididi,5.3,5.3,Leicester,72,2.44,65,3.44,58,3.03,58,3.05,56,2.86,59,2.51,57,2.72,54,2.59,55,2.88,55,2.74,55,2.43,54,3.08,0.02,5.3,5.3
M,192,J.Ayew,5.3,5.3,Leicester,55,1.87,55,2.66,58,2.77,56,2.65,53,2.45,53,2.07,54,2.38,53,2.28,52,2.47,53,2.34,51,2.09,51,2.6,0,5.3,5.3
M,434,Hudson-Odoi,5.4,5.4,Nott'm Forest,74,3.42,69,2.61,67,3.16,66,2.98,70,3.25,67,3.03,65,2.21,65,3.39,64,2.13,64,2.5,62,2.78,63,2.71,0,5.4,5.4
M,432,Elanga,5.3,5.3,Nott'm Forest,59,2.98,59,2.4,58,2.94,57,2.73,66,3.35,57,2.82,58,2.07,55,3.04,56,1.95,56,2.39,55,2.67,55,2.52,0,5.3,5.3
M,584,Brereton Díaz,5.4,5.4,Southampton,67,3.4,64,2.48,60,3.77,62,2.25,59,3.63,59,3.19,59,2.81,57,2.67,56,3,57,2.65,56,2.98,56,2.72,0.02,5.4,5.4
M,54,Rogers,5.2,5.2,Aston Villa,80,3.94,76,3.76,74,3.29,72,3.92,71,2.9,72,2.69,70,3.64,68,2.81,69,3.67,67,4.06,67,3.1,67,2.53,0.78,5.2,5.2
M,63,Christie,4.9,4.9,Bournemouth,70,2.99,68,2.52,66,2.07,64,2.12,60,1.85,56,2.02,55,2.11,56,2.08,55,2.03,53,2,55,2.14,56,1.85,0,4.9,4.9
M,64,Cook,5,5,Bournemouth,87,2.99,82,2.43,75,2,75,2.04,72,1.89,69,2.01,70,2.11,67,2.04,68,1.99,70,2.11,70,2.18,68,1.82,0,5,5
M,314,Carvalho,4.8,4.8,Brentford,69,3.74,69,3.98,63,2.83,57,3.55,57,2.81,57,3.4,48,2.6,38,2.39,36,1.79,35,1.98,36,1.71,36,2.16,0,4.8,4.8
M,98,Lewis-Potter,5,5,Brentford,66,3.29,62,3.29,53,2.28,42,2.55,39,2,39,2.29,36,1.95,33,2.02,31,1.5,33,1.87,32,1.48,28,1.55,0,5,5
M,149,Wieffer,4.9,4.9,Brighton,88,2.44,84,2.59,83,2.38,80,2.86,78,2.08,77,2.06,77,2.37,77,2.85,77,2.29,77,2.48,77,2.53,77,2.32,0,4.9,4.9
M,168,Enzo,5,5,Chelsea,86,3.18,84,3.31,83,2.41,82,3.12,81,2.63,80,2.5,79,2.94,79,2.98,77,3,79,2.56,77,3.15,78,2.93,0,5,5
M,239,Adama,5.1,5.1,Fulham,63,2.81,58,2.01,58,2.7,55,2.59,55,2.75,55,2.36,52,2.81,51,2.09,51,2.4,58,2.21,51,1.94,52,3,0,5.1,5.1
M,323,Gravenberch,5,5,Liverpool,78,3.13,74,2.74,72,2.81,70,2.19,68,2.75,68,2.75,66,2.78,67,2.21,66,2.4,67,2.69,68,2.84,66,2.32,0,5,5
M,364,Amad,5,5,Man Utd,63,3.33,59,2.74,52,3.07,53,2.69,52,2.76,51,3.21,51,2.82,51,3.14,52,2.06,51,3.02,51,1.95,50,3.01,0,5,5
M,557,Mario Jr.,5,5,Wolves,85,2.42,83,2.58,81,2.08,78,2.16,77,2.52,75,2.8,73,2.17,73,2.43,73,2.25,72,2.08,70,2.5,71,2.17,0,5,5
M,535,Bellegarde,5,5,Wolves,55,2.18,55,2.45,53,1.89,53,2.06,52,2.35,54,2.77,53,2.11,52,2.4,53,2.25,51,2.03,51,2.47,50,2.17,0,5,5
M,16,Rice,6.3,6.3,Arsenal,90,4.04,86,3.76,84,3.19,83,2.9,81,2.82,79,2.6,78,3.2,76,2.72,76,2.86,75,2.68,77,3.22,75,2.65,0,6.3,6.3
M,28,Bailey,6.4,6.4,Aston Villa,71,3.9,70,3.82,65,3.22,60,3.64,56,2.65,54,2.28,56,3.24,53,2.46,56,3.36,57,3.89,55,2.81,56,2.34,0,6.4,6.4
M,136,Mitoma,6.7,6.7,Brighton,81,3.32,78,3.62,76,3.27,73,4.14,75,2.81,72,2.69,71,3.33,69,4.14,68,3.1,70,3.35,69,3.56,71,3.15,0.02,6.7,6.7
M,386,Sancho,6.3,6.3,Chelsea,43,2.42,43,2.55,41,1.88,40,2.41,0,0,40,1.9,41,2.37,41,2.36,40,2.46,41,2.09,41,2.48,43,2.4,0,6.3,6.3
M,560,Neto,6.3,6.3,Chelsea,33,2.07,33,2.17,35,1.71,34,2.16,41,2.15,32,1.62,34,2.1,33,2.06,32,2.11,35,1.91,35,2.29,34,2.06,0,6.3,6.3
M,336,Szoboszlai,6.5,6.5,Liverpool,75,4.11,72,3.65,71,3.77,67,2.61,64,3.55,64,3.55,62,3.68,63,2.68,61,3.05,63,3.42,64,3.7,62,2.89,0,6.5,6.5
M,329,Mac Allister,6.4,6.4,Liverpool,83,3.58,82,3.23,78,3.32,78,2.49,76,3.35,75,3.31,75,3.45,76,2.62,74,2.9,74,3.17,74,3.5,75,2.78,0,6.4,6.4
M,571,Sávio,6.5,6.5,Man City,51,2.87,44,2.77,43,2.75,44,3.33,44,2.64,46,2.56,47,2.83,43,2.15,44,2.97,47,2.74,44,2.7,45,2.45,0,6.5,6.5
M,346,Doku,6.5,6.5,Man City,47,2.66,44,2.82,43,2.71,42,3.21,43,2.56,42,2.3,42,2.59,43,2.09,44,2.92,42,2.4,41,2.56,42,2.33,0,6.5,6.5
M,372,Garnacho,6.4,6.4,Man Utd,49,2.8,53,2.55,65,3.94,62,3.16,63,3.36,62,3.98,65,3.61,62,3.95,62,2.39,63,3.72,61,2.24,61,3.71,0.01,6.4,6.4
M,382,Mount,6.3,6.3,Man Utd,29,1.63,30,1.52,31,1.94,33,1.76,34,1.85,33,2.1,35,1.98,34,2.13,35,1.49,35,2.1,35,1.41,37,2.22,0,6.3,6.3
M,392,Barnes,6.4,6.4,Newcastle,61,2.73,59,3.32,60,3.47,55,2.73,54,2.53,53,2.94,56,3.43,53,2.88,53,2.77,53,2.94,54,3.59,54,3.19,0,6.4,6.4
M,394,Bruno G.,6.4,6.4,Newcastle,90,2.68,84,3.09,81,3.13,82,2.61,81,2.53,79,2.85,79,3.3,78,2.75,78,2.66,77,2.77,78,3.45,78,3.01,0,6.4,6.4
M,433,Gibbs-White,6.4,6.4,Nott'm Forest,85,4.09,81,3.04,77,3.75,78,3.55,78,3.98,75,3.51,75,2.47,74,4,74,2.35,75,2.95,73,3.44,74,3.18,0.06,6.4,6.4
M,491,Johnson,6.4,6.4,Spurs,54,2.83,55,2.87,54,3.54,48,2.74,51,3.18,47,3.38,41,1.77,41,2.67,41,2.48,40,2.45,40,2.69,42,2.3,0,6.4,6.4
M,492,Kulusevski,6.3,6.3,Spurs,62,2.66,63,2.65,60,3.17,59,2.72,56,2.83,55,3.21,54,1.93,51,2.74,52,2.53,53,2.61,51,2.76,52,2.35,0,6.3,6.3
M,525,Kudus,6.3,6.3,West Ham,81,3.53,76,4.32,76,2.94,73,3.33,72,3.12,70,3.69,70,2.82,71,2.65,70,3.3,69,3.73,69,3.03,70,3.2,0,6.3,6.3
M,181,Nkunku,6.2,6.2,Chelsea,39,2.75,38,2.82,37,2.02,40,2.93,45,2.64,40,2.21,41,2.92,40,2.82,40,3.05,38,2.34,40,3.08,39,2.77,0.05,6.2,6.2
M,611,Szmodics,6,6,Ipswich,67,3.35,63,3.02,64,3.63,63,3.01,60,3.47,62,2.61,60,2.92,59,2.76,58,3.07,59,3.23,60,3,61,3.12,0,6,6
M,527,L.Paquetá,6,6,West Ham,76,3.44,70,4.13,70,2.85,70,3.33,69,3.06,69,3.82,70,2.91,69,2.71,69,3.37,68,3.82,67,3.04,69,3.3,0,6,6
M,317,Diogo J.,7.6,7.6,Liverpool,50,3.46,51,3.15,47,3.11,46,2.14,47,3.15,45,3.13,47,3.44,46,2.33,47,2.79,45,3.02,46,3.32,46,2.67,0.28,7.6,7.6
M,398,Gordon,7.4,7.4,Newcastle,85,3.31,84,4.34,79,4.21,78,3.38,78,3.25,76,3.81,75,4.32,75,3.65,76,3.51,76,3.77,74,4.63,73,3.99,0.09,7.4,7.4
M,494,Maddison,7.5,7.5,Spurs,70,3.7,67,3.48,66,4.39,65,3.73,64,4.01,63,4.75,60,2.43,59,3.8,60,3.53,60,3.55,60,3.91,58,3.11,0,7.5,7.5
M,514,Bowen,7.5,7.5,West Ham,87,4.36,84,5.68,82,3.64,81,4.24,80,3.92,79,4.85,78,3.61,78,3.19,79,4.21,78,4.96,78,3.93,77,4.07,0,7.5,7.5
M,23,Trossard,6.9,6.9,Arsenal,63,4.64,59,4.21,55,3.37,51,2.91,48,2.77,48,2.65,40,2.76,39,2.39,39,2.51,38,2.26,39,2.84,36,2.22,0,6.9,6.9
M,9,Martinelli,6.9,6.9,Arsenal,59,4.3,51,3.68,51,3.11,47,2.67,42,2.48,52,2.79,38,2.66,39,2.33,37,2.39,38,2.31,39,2.88,37,2.26,0,6.9,6.9
M,99,Mbeumo,7.2,7.2,Brentford,89,5.81,88,6.21,86,4.23,83,5.99,81,4.42,80,5.38,78,4.52,77,5.47,76,3.86,77,4.73,76,3.78,76,4.91,0.19,7.2,7.2
M,199,Eze,6.9,6.9,Crystal Palace,88,4.7,85,4.22,82,4.17,81,4.38,81,4.59,80,4.78,78,3.81,79,4.58,77,4.31,77,3.2,78,3.71,78,3.44,0.87,6.9,6.9
M,385,Rashford,6.9,6.9,Man Utd,65,4.2,62,3.37,60,4.27,60,3.58,60,3.8,60,4.49,57,3.77,58,4.37,56,2.48,58,4.11,59,2.48,60,4.29,0,6.9,6.9
M,13,Ødegaard,8.3,8.3,Arsenal,0,0,0,0,0,0,23,1.24,61,3.21,83,4.08,82,5.3,82,4.46,83,4.81,82,4.38,80,5.34,83,4.39,0,8.3,8.3
M,366,B.Fernandes,8.3,8.4,Man Utd,89,5.72,84,4.41,84,5.95,83,4.82,83,5.29,83,6.4,82,5.24,81,6.13,81,3.44,80,5.67,80,3.23,80,5.75,0.53,8.3,8.4
M,327,Luis Díaz,7.9,7.9,Liverpool,68,4.15,68,3.82,65,3.9,65,2.74,63,3.85,63,3.87,62,4.12,61,2.88,61,3.35,61,3.72,59,3.9,60,3.16,0.01,7.9,7.9
M,348,Foden,9.3,9.3,Man City,79,5.01,78,5.53,74,5.17,74,6.42,73,4.85,73,4.32,70,4.82,73,3.8,72,5.47,71,4.54,71,4.89,71,4.25,0,9.3,9.3
M,345,De Bruyne,9.6,9.6,Man City,32,2.02,60,4.29,69,4.83,66,5.75,68,4.46,67,4.11,65,4.49,66,3.46,64,4.91,64,4.16,64,4.47,65,3.98,0,9.6,9.6
