Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,44,Konsa,4.5,4.5,Aston Villa,66,2,87,3.26,84,1.74,83,1.46,82,3.25,81,1.74,80,3.13,80,3.57,79,2.77,79,1.78,80,2.02,80,2.75,0.3,66,87,84,83,82,81,80,80,79,79,80,80,2,3.26,1.74,1.46,3.25,1.74,3.13,3.57,2.77,1.78,2.02,2.75,3.57,87,29.47,961,TRUE,D4.5,D4.5Aston Villa
D,52,Pau,4.5,4.5,Aston Villa,86,2.53,81,3.03,79,1.61,79,1.4,76,3,75,1.61,75,2.89,75,3.25,73,2.48,72,1.62,73,1.83,72,2.5,0.01,86,81,79,79,76,75,75,75,73,72,73,72,2.53,3.03,1.61,1.4,3,1.61,2.89,3.25,2.48,1.62,1.83,2.5,3.25,86,27.75,916,TRUE,D4.5,D4.5Aston Villa
D,70,Kerkez,4.5,4.5,Bournemouth,62,1.65,79,2.17,78,1.68,75,2.38,75,2.6,73,2.57,71,2.01,71,2.6,71,2.74,71,1.75,71,2.84,70,2.1,0,62,79,78,75,75,73,71,71,71,71,71,70,1.65,2.17,1.68,2.38,2.6,2.57,2.01,2.6,2.74,1.75,2.84,2.1,2.84,79,27.09,867,TRUE,D4.5,D4.5Bournemouth
D,85,Zabarnyi,4.5,4.5,Bournemouth,88,1.89,86,1.93,84,1.46,82,2.11,82,2.29,80,2.32,80,1.74,78,2.37,77,2.38,78,1.49,79,2.59,78,1.96,0,88,86,84,82,82,80,80,78,77,78,79,78,1.89,1.93,1.46,2.11,2.29,2.32,1.74,2.37,2.38,1.49,2.59,1.96,2.59,88,24.53,972,TRUE,D4.5,D4.5Bournemouth
D,104,Pinnock,4.5,4.5,Brentford,91,2.04,89,3.54,86,2.33,85,2.87,84,2.69,86,3.54,84,1.95,81,2.4,81,1.49,81,3.11,83,2.02,82,1.99,0.05,91,89,86,85,84,86,84,81,81,81,83,82,2.04,3.54,2.33,2.87,2.69,3.54,1.95,2.4,1.49,3.11,2.02,1.99,3.54,91,29.97,1013,TRUE,D4.5,D4.5Brentford
D,88,Collins,4.5,4.5,Brentford,89,1.97,84,3.26,83,2.23,80,2.64,80,2.5,79,3.21,79,1.75,76,2.19,76,1.34,77,2.9,77,1.8,76,1.78,0.01,89,84,83,80,80,79,79,76,76,77,77,76,1.97,3.26,2.23,2.64,2.5,3.21,1.75,2.19,1.34,2.9,1.8,1.78,3.26,89,27.57,956,TRUE,D4.5,D4.5Brentford
D,120,Dunk,4.5,4.5,Brighton,92,2.42,90,4.12,87,1.58,86,1.97,85,2.57,83,3.88,83,2.6,83,3.16,83,3.42,82,2.63,81,3.3,83,2.26,0.31,92,90,87,86,85,83,83,83,83,82,81,83,2.42,4.12,1.58,1.97,2.57,3.88,2.6,3.16,3.42,2.63,3.3,2.26,4.12,92,33.91,1018,TRUE,D4.5,D4.5Brighton
D,145,Veltman,4.5,4.5,Brighton,66,1.75,61,2.65,60,1.14,59,1.42,53,1.63,56,2.52,55,1.75,57,2.12,56,2.29,56,1.81,53,2.12,53,1.48,0,66,61,60,59,53,56,55,57,56,56,53,53,1.75,2.65,1.14,1.42,1.63,2.52,1.75,2.12,2.29,1.81,2.12,1.48,2.65,66,22.68,685,TRUE,D4.5,D4.5Brighton
D,162,Colwill,4.6,4.6,Chelsea,89,1.87,86,3.03,83,2.29,81,2.47,80,3.16,80,2.95,80,3.18,78,1.86,77,3.25,75,2.85,77,3.12,77,3.02,0.06,89,86,83,81,80,80,80,78,77,75,77,77,1.87,3.03,2.29,2.47,3.16,2.95,3.18,1.86,3.25,2.85,3.12,3.02,3.25,89,33.05,963,TRUE,D4.6,D4.5Chelsea
D,189,W.Fofana,4.5,4.5,Chelsea,0,0,0,0,74,2.06,74,2.23,72,2.84,71,2.61,69,2.74,69,1.66,67,2.83,69,2.64,69,2.79,68,2.71,0,0,0,74,74,72,71,69,69,67,69,69,68,0,0,2.06,2.23,2.84,2.61,2.74,1.66,2.83,2.64,2.79,2.71,2.84,74,25.11,702,TRUE,D4.5,D4.5Chelsea
D,200,Guéhi,4.4,4.4,Crystal Palace,91,2.92,88,2.34,87,2.86,87,3.12,86,2.12,84,2.59,84,2.91,85,1.78,85,2.1,84,2.13,83,2.23,82,3.45,0.01,91,88,87,87,86,84,84,85,85,84,83,82,2.92,2.34,2.86,3.12,2.12,2.59,2.91,1.78,2.1,2.13,2.23,3.45,3.45,91,30.55,1026,TRUE,D4.4,D4.5Crystal Palace
D,159,Chalobah,4.4,4.4,Crystal Palace,71,2.22,79,2.08,74,2.39,74,2.65,72,1.74,69,2.11,67,2.26,66,1.38,64,1.6,66,1.68,64,1.71,64,2.63,0,71,79,74,74,72,69,67,66,64,66,64,64,2.22,2.08,2.39,2.65,1.74,2.11,2.26,1.38,1.6,1.68,1.71,2.63,2.65,79,24.45,830,TRUE,D4.4,D4.5Crystal Palace
D,238,Young,4.5,4.5,Everton,89,2.9,76,2.82,65,2.25,60,1.7,61,2.31,61,1.42,60,2.44,57,1.32,59,1.09,57,1.53,56,0.8,56,2.24,0,89,76,65,60,61,61,60,57,59,57,56,56,2.9,2.82,2.25,1.7,2.31,1.42,2.44,1.32,1.09,1.53,0.8,2.24,2.9,89,22.82,757,TRUE,D4.5,D4.5Everton
D,231,Mykolenko,4.3,4.3,Everton,0,0,35,1.3,71,2.36,82,2.21,81,2.83,80,1.69,79,3.04,80,1.65,78,1.31,78,1.94,79,0.95,78,2.92,0.35,0,35,71,82,81,80,79,80,78,78,79,78,0,1.3,2.36,2.21,2.83,1.69,3.04,1.65,1.31,1.94,0.95,2.92,3.04,82,22.2,821,TRUE,D4.3,D4.5Everton
D,191,Andersen,4.3,4.3,Fulham,66,2.13,89,3,86,3.24,86,2.53,84,3.45,83,1.58,83,2.75,83,2.15,82,1.32,81,3.48,79,1.58,79,2.78,0.01,66,89,86,86,84,83,83,83,82,81,79,79,2.13,3,3.24,2.53,3.45,1.58,2.75,2.15,1.32,3.48,1.58,2.78,3.48,89,29.99,981,TRUE,D4.3,D4.5Fulham
D,255,Robinson,4.7,4.7,Fulham,88,2.87,83,2.87,81,3.14,78,2.46,78,3.29,76,1.53,74,2.56,76,2,75,1.28,75,3.31,75,1.56,72,2.66,0.04,88,83,81,78,78,76,74,76,75,75,75,72,2.87,2.87,3.14,2.46,3.29,1.53,2.56,2,1.28,3.31,1.56,2.66,3.31,88,29.53,931,TRUE,D4.7,D4.5Fulham
D,267,Davis,4.5,4.5,Ipswich,90,3.71,86,2.61,84,3.72,81,1.44,81,2.52,79,2.5,80,3.07,80,2.85,79,2.62,79,2.48,80,1.32,79,2.11,0.03,90,86,84,81,81,79,80,80,79,79,80,79,3.71,2.61,3.72,1.44,2.52,2.5,3.07,2.85,2.62,2.48,1.32,2.11,3.72,90,30.95,978,TRUE,D4.5,D4.5Ipswich
D,295,Justin,4.6,4.6,Leicester,88,2.71,83,2.96,81,2.5,79,1.48,77,1.73,75,1.91,75,2.46,73,2.1,75,1.44,74,2.7,73,0.87,73,1.24,0,88,83,81,79,77,75,75,73,75,74,73,73,2.71,2.96,2.5,1.48,1.73,1.91,2.46,2.1,1.44,2.7,0.87,1.24,2.96,88,24.1,926,TRUE,D4.6,D4.5Leicester
D,296,Kristiansen,4.5,4.5,Leicester,84,2.54,80,2.81,77,2.39,76,1.46,76,1.73,75,1.9,74,2.36,73,2.12,73,1.43,73,2.65,72,0.89,72,1.22,0,84,80,77,76,76,75,74,73,73,73,72,72,2.54,2.81,2.39,1.46,1.73,1.9,2.36,2.12,1.43,2.65,0.89,1.22,2.81,84,23.5,905,TRUE,D4.5,D4.5Leicester
D,355,Lewis,4.7,4.7,Man City,63,3.13,56,3.29,53,2.4,54,2.32,53,2.32,55,1.84,53,2.94,55,2.6,56,2.68,55,2.34,54,3.03,56,2.88,0.47,63,56,53,54,53,55,53,55,56,55,54,56,3.13,3.29,2.4,2.32,2.32,1.84,2.94,2.6,2.68,2.34,3.03,2.88,3.29,63,31.77,663,TRUE,D4.7,D4.5Man City
D,380,Martinez,4.5,4.5,Man Utd,88,3.17,84,2.62,78,2.14,74,3.09,71,2.54,72,2.92,70,1.37,67,2.69,67,0.97,67,2.36,67,2.26,72,2.24,0,88,84,78,74,71,72,70,67,67,67,67,72,3.17,2.62,2.14,3.09,2.54,2.92,1.37,2.69,0.97,2.36,2.26,2.24,3.17,88,28.37,877,TRUE,D4.5,D4.5Man Utd
