Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,461,Harwood-Bellis,4,4,Southampton,90,2.91,76,2.5,74,1.91,72,1.13,74,1.36,72,1.42,71,1.28,70,1.31,68,1.47,70,2.04,71,1.61,0.08,90,77,76,74,72,74,72,71,70,68,70,71,2.91,0.88,2.5,1.91,1.13,1.36,1.42,1.28,1.31,1.47,2.04,1.61,2.91,90,19.82,885,TRUE,D4,D4Southampton
D,340,Akanji,5.5,5.5,Man City,74,3.47,66,2.76,66,2.62,67,2.74,62,1.95,61,3.24,64,2.86,64,2.84,66,2.65,63,3.4,64,3.08,0.01,74,67,66,66,67,62,61,64,64,66,63,64,3.47,3.87,2.76,2.62,2.74,1.95,3.24,2.86,2.84,2.65,3.4,3.08,3.87,74,35.48,784,TRUE,D5.5,D5.5Man City
D,361,Rúben,5.5,5.5,Man City,76,3.46,66,2.76,62,2.46,65,2.58,66,1.97,64,3.28,64,2.84,63,2.69,63,2.46,62,3.26,65,3.04,0,76,68,66,62,65,66,64,64,63,63,62,65,3.46,3.86,2.76,2.46,2.58,1.97,3.28,2.84,2.69,2.46,3.26,3.04,3.86,76,34.66,784,TRUE,D5.5,D5.5Man City
D,415,Schär,5.4,5.4,Newcastle,90,3.24,85,2.27,82,2.82,83,3.22,82,2.68,81,1.96,79,2.57,79,3.47,78,2.86,77,2.66,77,1.89,0,90,87,85,82,83,82,81,79,79,78,77,77,3.24,2.17,2.27,2.82,3.22,2.68,1.96,2.57,3.47,2.86,2.66,1.89,3.47,90,31.81,980,TRUE,D5.4,D5.5Newcastle
D,418,Trippier,5.7,5.7,Newcastle,52,2.34,66,2.25,66,2.78,65,3.15,62,2.58,64,2.06,65,2.7,61,3.47,61,2.81,61,2.66,61,1.97,0,52,68,66,66,65,62,64,65,61,61,61,61,2.34,2.22,2.25,2.78,3.15,2.58,2.06,2.7,3.47,2.81,2.66,1.97,3.47,68,30.99,752,TRUE,D5.7,D5.5Newcastle
D,495,Pedro Porro,5.5,5.5,Spurs,87,4.3,82,3.66,80,4.56,81,1.7,78,3.81,80,3.11,78,3.1,78,3.85,76,2.53,77,3.35,77,4.4,0.33,87,86,82,80,81,78,80,78,78,76,77,77,4.3,3.6,3.66,4.56,1.7,3.81,3.11,3.1,3.85,2.53,3.35,4.4,4.56,87,41.97,960,TRUE,D5.5,D5.5Spurs
D,122,Estupiñan,5,5,Brighton,65,2.05,58,1.32,59,1.66,58,2.06,57,3.06,55,2,55,2.4,54,2.56,57,2.13,56,2.63,56,1.85,0,65,59,58,59,58,57,55,55,54,57,56,56,2.05,3,1.32,1.66,2.06,3.06,2,2.4,2.56,2.13,2.63,1.85,3.06,65,26.72,689,TRUE,D5,D5Brighton
D,163,Cucurella,5,5,Chelsea,0,0,80,2.28,80,2.47,78,3.19,79,3.1,77,3.21,77,1.92,77,3.48,78,3.11,77,3.27,74,3.07,0,0,0,80,80,78,79,77,77,77,78,77,74,0,0,2.28,2.47,3.19,3.1,3.21,1.92,3.48,3.11,3.27,3.07,3.48,80,29.1,777,TRUE,D5,D5Chelsea
D,172,James,4.9,4.9,Chelsea,9,0.34,49,1.98,57,2.39,55,2.91,56,2.88,56,3.1,54,1.93,55,3.18,56,2.89,55,3.01,54,2.87,0,9,32,49,57,55,56,56,54,55,56,55,54,0.34,1.54,1.98,2.39,2.91,2.88,3.1,1.93,3.18,2.89,3.01,2.87,3.18,57,29.02,588,TRUE,D4.9,D5Chelsea
D,211,Muñoz,4.9,4.9,Crystal Palace,66,2.36,82,2.99,81,3.21,81,2.28,79,2.75,76,2.98,77,1.78,76,2.2,76,2.13,76,2.35,74,3.58,0,66,84,82,81,81,79,76,77,76,76,76,74,2.36,2.67,2.99,3.21,2.28,2.75,2.98,1.78,2.2,2.13,2.35,3.58,3.58,84,31.28,928,TRUE,D4.9,D5Crystal Palace
D,210,Mitchell,4.9,4.9,Crystal Palace,83,2.75,80,2.71,79,2.91,78,2.02,79,2.5,77,2.75,79,1.72,78,2.07,78,2.05,77,2.21,76,3.31,0,83,81,80,79,78,79,77,79,78,78,77,76,2.75,2.41,2.71,2.91,2.02,2.5,2.75,1.72,2.07,2.05,2.21,3.31,3.31,83,29.41,945,TRUE,D4.9,D5Crystal Palace
