Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts
D,1,Cédric,4.4,4.4,Arsenal,3,0.13,4,0.18,7,0.31,7,0.24,8,0.37,9,0.38,9,0.32,9,0.25
G,2,Leno,4.5,4.5,Fulham,36,1.48,50,1.77,65,2.62,80,2.83,80,2.92,79,3.19,77,3.09,79,2.91
M,3,Xhaka,5.0,5.0,Arsenal,79,2.76,73,2.70,71,2.42,68,2.05,65,2.36,65,2.12,67,2.03,63,1.75
M,4,Elneny,4.5,4.5,Arsenal,10,0.39,11,0.43,10,0.37,10,0.35,10,0.38,11,0.42,13,0.45,12,0.39
D,5,Holding,4.4,4.4,Arsenal,7,0.27,6,0.22,5,0.17,6,0.20,7,0.28,8,0.31,9,0.30,12,0.33
M,6,Partey,5.0,5.0,Arsenal,83,3.07,79,3.12,79,2.87,76,2.40,75,2.89,72,2.49,71,2.31,73,2.12
M,7,Ødegaard,6.5,6.5,Arsenal,75,4.11,73,4.29,71,3.89,67,3.06,68,3.91,66,3.39,68,3.16,67,2.72
D,8,Tierney,5.0,5.0,Arsenal,27,1.45,45,2.51,54,2.65,53,1.91,54,2.97,53,2.35,52,2.02,51,1.48
M,9,Pépé,5.4,5.4,Arsenal,9,0.67,8,0.65,6,0.50,12,0.78,11,0.88,13,0.94,14,0.89,13,0.74
D,10,White,4.5,4.5,Arsenal,75,3.49,66,3.15,58,2.48,60,1.90,59,2.85,59,2.29,58,1.95,59,1.49
F,11,Nketiah,6.9,6.9,Arsenal,29,1.82,31,2.18,30,1.96,26,1.52,31,2.13,29,1.81,29,1.66,32,1.59
M,12,Smith Rowe,5.9,5.9,Arsenal,12,0.85,18,1.27,22,1.46,29,1.61,27,1.79,28,1.65,27,1.51,31,1.51
M,13,Saka,8.0,8.0,Arsenal,79,5.19,76,5.47,75,4.94,72,3.96,72,5.04,71,4.33,70,3.85,71,3.35
D,14,Tomiyasu,4.4,4.4,Arsenal,37,1.83,53,2.72,68,3.10,71,2.39,68,3.54,68,2.85,67,2.42,62,1.69
G,15,Ramsdale,5.0,5.0,Arsenal,89,4.16,88,4.20,87,3.90,85,3.40,85,4.10,85,3.67,85,3.48,82,3.06
D,16,Gabriel,5.0,5.0,Arsenal,80,4.15,78,4.26,74,3.57,71,2.51,70,3.82,70,3.08,69,2.64,68,1.93
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.5,4.5,Arsenal,9,0.41,7,0.33,6,0.28,7,0.29,7,0.34,10,0.44,7,0.30,8,0.32
M,19,Martinelli,6.2,6.1,Arsenal,73,4.69,70,4.90,68,4.35,65,3.48,64,4.37,62,3.75,62,3.39,62,2.92
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.9,4.9,Arsenal,1,0.07,1,0.08,2,0.14,3,0.18,4,0.27,3,0.22,3,0.22,4,0.26
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.04,2,0.14,2,0.12
G,24,Turner,4.0,4.0,Arsenal,1,0.07,2,0.09,3,0.13,4,0.18,5,0.25,4,0.18,5,0.19,8,0.29
M,25,Fábio Vieira,5.9,5.9,Arsenal,3,0.17,9,0.55,14,0.81,21,1.03,24,1.44,26,1.39,25,1.25,24,1.07
