Pos,ID,Name,BV,SV,Team,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts
D,1,Cédric,4.2,4.2,Fulham,22,0.96,23,0.96,20,0.78,21,0.48,22,0.76
G,2,Leno,4.5,4.5,Fulham,84,3.94,86,3.63,84,3.46,83,2,85,3.28
M,3,Xhaka,4.9,4.9,Arsenal,69,2.69,67,2.09,65,2.19,64,1.65,64,1.82
M,4,Elneny,4.1,4.1,Arsenal,0,0,0,0,0,0,0,0,0,0
D,5,Holding,4.2,4.2,Arsenal,5,0.23,5,0.14,4,0.13,5,0.13,5,0.12
M,6,Partey,4.7,4.7,Arsenal,70,2.67,68,2.12,67,2.27,65,1.64,67,1.92
M,7,Ødegaard,7,7,Arsenal,77,4.68,77,3.48,77,3.79,73,2.84,74,2.88
D,8,Tierney,4.6,4.6,Arsenal,18,0.96,18,0.64,18,0.8,22,0.81,18,0.57
M,9,Pépé,5.3,5.3,Arsenal,0,0,0,0,0,0,0,0,0,0
D,10,White,4.7,4.7,Arsenal,68,3.54,68,2.2,67,3.06,65,2.35,67,1.74
F,11,Nketiah,6.8,6.8,Arsenal,31,2.05,28,1.46,29,1.64,32,1.39,29,1.36
M,12,Smith Rowe,5.6,5.6,Arsenal,15,0.96,18,0.94,22,1.26,23,0.94,25,1.2
M,13,Saka,8.4,8.2,Arsenal,75,5.42,74,3.92,76,4.46,70,3.33,71,3.18
D,14,Tomiyasu,4.2,4.2,Arsenal,36,1.84,37,1.21,37,1.63,40,1.38,41,1.08
G,15,Ramsdale,4.9,4.9,Arsenal,87,4,87,3.29,86,3.81,85,2.66,85,3.11
D,16,Gabriel,5.2,5.1,Arsenal,78,3.98,77,2.41,78,3.44,76,2.77,77,1.89
D,17,Tavares,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,18,Sambi,4.3,4.3,Crystal Palace,36,1.25,38,1.22,39,1.29,40,1.38,39,1.25
M,19,Martinelli,6.5,6.5,Arsenal,55,3.56,56,2.73,53,2.9,53,2.27,53,2.28
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,21,Maitland-Niles,4.8,4.8,Southampton,29,1.49,29,0.95,27,0.99,0,0,29,1.07
M,22,Torreira,4.5,4.5,Arsenal,0,0,0,0,0,0,0,0,0,0
M,23,Nelson,4.7,4.7,Arsenal,4,0.24,4,0.26,4,0.27,5,0.24,6,0.29
