Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
G,293,Hermansen,4.5,4.5,Leicester,92,3.36,91,3,91,3.03,90,3.12,91,3.35,91,3.17,91,3,91,3.43,90,2.97,89,2.9,89,2.94,0,94,92,91,91,90,91,91,91,91,90,89,89,3.52,3.36,3,3.03,3.12,3.35,3.17,3,3.43,2.97,2.9,2.94,3.52,94,37.79,1090,TRUE,G4.5,G4.5Leicester
G,325,Kelleher,4.4,4.4,Liverpool,93,3.85,93,3.81,59,2.52,21,0.76,2,0.09,3,0.12,4,0.19,3,0.12,5,0.22,4,0.18,3,0.13,0.02,94,93,93,59,21,2,3,4,3,5,4,3,3.45,3.85,3.81,2.52,0.76,0.09,0.12,0.19,0.12,0.22,0.18,0.13,3.85,94,15.44,384,TRUE,G4.4,G4.5Liverpool
G,443,Sels,4.5,4.5,Nott'm Forest,93,3.52,93,3.31,92,3.06,91,3.64,91,2.97,90,3.06,90,3.29,89,3.22,90,3,90,3.37,89,3.35,0.01,94,93,93,92,91,91,90,90,89,90,90,89,3.59,3.52,3.31,3.06,3.64,2.97,3.06,3.29,3.22,3,3.37,3.35,3.64,94,39.38,1092,TRUE,G4.5,G4.5Nott'm Forest
G,14,Ramsdale,4.4,4.4,Southampton,93,3.42,92,3.23,91,2.89,91,3.04,92,2.99,91,2.97,90,2.9,90,3.02,90,3.23,90,3.13,91,3.25,0.01,94,93,92,91,91,92,91,90,90,90,90,91,3.09,3.42,3.23,2.89,3.04,2.99,2.97,2.9,3.02,3.23,3.13,3.25,3.42,94,37.16,1095,TRUE,G4.4,G4.5Southampton
G,513,Areola,4.5,4.5,West Ham,93,3.39,92,3.56,92,3.09,92,3.09,92,3.49,92,3.56,90,3.11,89,3.17,90,3.35,89,2.93,90,2.93,0,94,93,92,92,92,92,92,90,89,90,89,90,3.26,3.39,3.56,3.09,3.09,3.49,3.56,3.11,3.17,3.35,2.93,2.93,3.56,94,38.93,1095,TRUE,G4.5,G4.5West Ham
G,204,Johnstone,4.4,4.4,Wolves,92,3.35,91,3.45,91,3.15,90,3.15,90,3.21,90,3.1,90,3.48,89,3.26,89,3,88,2.78,88,3.34,0,69,92,91,91,90,90,90,90,89,89,88,88,2.34,3.35,3.45,3.15,3.15,3.21,3.1,3.48,3.26,3,2.78,3.34,3.48,92,37.61,1057,TRUE,G4.4,G4.5Wolves
G,536,Bentley,4,4,Wolves,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,1,0.04,1,FALSE,G4,G4Wolves
G,15,Raya,5.7,5.6,Arsenal,93,3.67,93,3.52,92,4.22,91,3.77,92,3.74,92,3.81,91,4.21,90,3.86,90,4.2,90,3.7,90,3.57,0.26,94,93,93,92,91,92,92,91,90,90,90,90,3.57,3.67,3.52,4.22,3.77,3.74,3.81,4.21,3.86,4.2,3.7,3.57,4.22,94,45.84,1098,TRUE,G5.6,G5.5Arsenal
G,310,A.Becker,5.4,5.4,Liverpool,0,0,0,0,34,1.4,73,2.7,93,3.53,92,3.91,91,3.89,92,3.24,90,4.09,90,3.67,92,3.67,0,0,0,0,34,73,93,92,91,92,90,90,92,0,0,0,1.4,2.7,3.53,3.91,3.89,3.24,4.09,3.67,3.67,4.09,93,30.1,747,TRUE,G5.4,G5.5Liverpool
G,347,Ederson M.,5.5,5.5,Man City,91,3.64,90,3.53,88,3.34,88,3.11,86,3.92,86,3.6,85,3.45,85,3.3,85,3.85,85,3.73,84,3.71,0.05,93,91,90,88,88,86,86,85,85,85,85,84,4.22,3.64,3.53,3.34,3.11,3.92,3.6,3.45,3.3,3.85,3.73,3.71,4.22,93,43.4,1046,TRUE,G5.5,G5.5Man City
G,47,Martinez,5,5,Aston Villa,93,3.15,92,2.99,93,3.73,92,3.13,91,3.57,91,3.72,91,3.54,91,3.06,91,3.18,91,3.43,90,3.75,0.01,94,93,92,93,92,91,91,91,91,91,91,90,3.52,3.15,2.99,3.73,3.13,3.57,3.72,3.54,3.06,3.18,3.43,3.75,3.75,94,40.77,1100,TRUE,G5,G5Aston Villa
G,235,Pickford,4.8,4.8,Everton,93,3.42,92,3.24,91,3.33,91,3.05,91,3.49,89,2.87,91,2.95,91,3.05,92,2.98,91,3.52,91,3.1,0,94,93,92,91,91,91,89,91,91,92,91,91,3.48,3.42,3.24,3.33,3.05,3.49,2.87,2.95,3.05,2.98,3.52,3.1,3.52,94,38.48,1097,TRUE,G4.8,G5Everton
