Pos,ID,Name,BV,SV,Team,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,167,Bernard,5.5,5.5,Everton,0,0.00,0,0.00,0,0.00
D,168,Digne,5.0,5.0,Aston Villa,84,5.74,82,8.42,80,1.40
D,169,Keane,4.6,4.6,Everton,69,5.30,65,5.51,59,1.40
G,170,Pickford,4.8,4.8,Everton,90,7.44,88,7.68,89,3.24
M,171,Allan,4.3,4.3,Everton,55,3.79,67,4.58,69,1.96
M,172,André Gomes,4.9,4.9,Everton,0,0.04,1,0.14,1,0.07
M,173,Doucouré,5.3,5.3,Everton,54,4.13,47,3.79,43,1.39
M,174,Iwobi,5.8,5.8,Everton,68,5.49,64,5.36,59,2.00
D,175,Mina,4.9,4.9,Everton,81,6.35,79,6.84,78,1.86
M,176,Davies,4.8,4.8,Everton,31,2.52,28,2.32,28,1.03
F,177,Calvert-Lewin,7.7,7.7,Everton,30,3.60,55,6.06,72,2.86
D,178,Holgate,4.2,4.2,Everton,28,2.03,33,2.55,28,0.65
D,179,Godfrey,4.7,4.7,Everton,0,0.00,4,0.34,14,0.33
F,180,Richarlison,7.5,7.5,Everton,77,8.87,73,8.45,62,2.58
G,181,Virgínia,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00
M,182,Hernández,5.5,5.5,Leeds,0,0.00,0,0.00,0,0.00
G,183,Casilla,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
D,184,Cooper,4.4,4.4,Leeds,71,2.95,76,2.68,77,2.20
D,185,Ayling,4.3,4.3,Leeds,84,3.71,85,3.12,81,2.46
M,186,Klich,5.1,5.1,Leeds,54,3.70,55,2.13,53,1.95
F,187,Rodrigo,6.3,6.3,Leeds,65,5.03,58,2.73,56,2.49
M,188,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00
F,189,Bamford,7.7,7.7,Leeds,50,4.51,67,3.80,71,3.70
D,190,Llorente,4.5,4.5,Leeds,75,3.01,74,2.58,74,2.08
M,191,Phillips,4.7,4.7,Leeds,80,4.02,83,2.31,80,2.15
M,192,Costa,5.4,5.4,Leeds,0,0.00,0,0.00,0,0.00
M,193,Roberts,4.8,4.8,Leeds,0,0.00,0,0.00,0,0.00
D,194,Koch,4.3,4.3,Leeds,42,1.89,36,1.35,47,1.38
M,195,Poveda,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00
M,196,Raphinha,6.4,6.4,Leeds,83,7.31,79,4.57,78,4.11
M,197,Shackleton,4.4,4.4,Leeds,7,0.59,11,0.45,9,0.38
D,198,Struijk,4.3,4.3,Leeds,37,1.67,32,1.15,34,1.02
G,199,Meslier,4.8,4.8,Leeds,89,6.43,88,3.65,88,3.38
G,200,Schmeichel,4.9,4.9,Leicester,89,7.69,87,6.71,88,3.62
D,201,Evans,5.4,5.4,Leicester,50,4.12,51,2.80,49,1.75
M,202,Albrighton,5.2,5.2,Leicester,41,3.66,35,2.73,38,1.63
M,203,Mendy,4.3,4.3,Leicester,46,2.97,46,2.70,44,1.38
G,204,Ward,4.0,4.0,Leicester,1,0.10,3,0.23,2,0.08
F,205,Vardy,10.3,10.3,Leicester,50,6.80,50,5.20,55,3.46
M,206,Praet,4.9,4.9,Leicester,0,0.00,0,0.00,0,0.00
D,207,Pereira,5.2,5.2,Leicester,53,4.91,55,3.51,49,2.04
D,208,Amartey,4.0,4.0,Leicester,30,2.41,34,1.91,37,1.33
D,209,Castagne,5.3,5.3,Leicester,61,5.10,59,3.31,56,2.09
M,210,Tielemans,6.4,6.4,Leicester,73,6.63,73,5.30,70,2.96
M,211,Pérez,5.7,5.7,Leicester,27,3.25,25,2.50,26,1.50
M,212,Maddison,6.9,6.9,Leicester,66,8.03,60,5.64,62,3.59
F,213,Iheanacho,7.0,7.0,Leicester,31,4.26,34,3.65,30,1.95
M,214,Choudhury,4.4,4.4,Leicester,7,0.70,6,0.56,12,0.52
M,215,Barnes,6.5,6.5,Leicester,49,6.31,48,4.73,49,2.91
M,216,Ndidi,4.8,4.8,Leicester,0,0.00,0,0.00,0,0.00
D,217,Söyüncü,4.9,4.9,Leicester,53,4.13,53,2.77,55,1.86
D,218,Justin,4.9,4.9,Leicester,27,2.41,30,1.87,27,1.09
D,219,Thomas,4.3,4.3,Leicester,36,2.92,33,1.82,40,1.42
D,220,Fofana,4.3,4.3,Leicester,56,4.38,51,2.75,47,1.62
M,221,Milner,4.9,4.9,Liverpool,9,1.10,10,0.62,10,0.66
M,222,Henderson,4.9,4.9,Liverpool,68,5.58,68,2.88,67,3.06
G,223,Adrián,4.3,4.3,Liverpool,0,0.00,0,0.01,0,0.00
D,224,Matip,5.2,5.2,Liverpool,52,4.78,72,3.54,71,4.21
M,225,Thiago,5.3,5.3,Liverpool,58,4.70,56,2.33,58,2.60
M,226,Shaqiri,5.9,5.9,Liverpool,0,0.00,0,0.00,0,0.00
M,227,Chamberlain,5.8,5.8,Liverpool,16,1.71,20,1.10,20,1.15
F,228,Firmino,8.7,8.7,Liverpool,12,1.52,22,1.44,31,2.08
D,229,van Dijk,6.8,6.8,Liverpool,84,7.77,85,4.15,83,4.85
M,230,Mané,11.7,11.7,Liverpool,68,9.71,71,5.19,69,5.69
G,231,Alisson,6.0,6.0,Liverpool,89,8.19,89,4.18,88,4.67
M,232,Fabinho,5.4,5.4,Liverpool,83,5.62,79,2.81,81,3.14
M,233,Salah,13.3,13.1,Liverpool,77,13.61,76,6.93,72,7.48
D,234,Robertson,7.3,7.3,Liverpool,63,6.70,83,4.67,81,5.55
F,235,Origi,4.8,4.8,Liverpool,7,1.05,6,0.55,5,0.47
M,236,Minamino,5.1,5.1,Liverpool,6,0.92,7,0.54,7,0.58
D,237,Alexander-Arnold,8.4,8.4,Liverpool,85,10.51,83,5.44,81,6.34
D,238,Gomez,4.7,4.7,Liverpool,7,0.58,6,0.27,8,0.37
M,239,Keita,5.0,5.0,Liverpool,26,2.63,25,1.32,22,1.25
M,240,Jota,8.3,8.3,Liverpool,50,7.11,53,3.94,46,3.85
D,241,Phillips,4.2,4.2,Liverpool,0,0.00,0,0.00,0,0.00
G,242,Kelleher,4.3,4.3,Liverpool,1,0.05,1,0.05,2,0.09
