Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,Elite%
F,1,Balogun,4.5,4.5,Arsenal,1,0.07,3,0.17,3,0.14,2,0.07,2,0.07,2,0.07,2,0.12,2,0.06,2,0.17,3,0.12,3,0.15,2,0.13,0.00
D,2,Cédric,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,3,M.Elneny,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,4,Fábio Vieira,5.5,5.5,Arsenal,5,0.37,7,0.49,7,0.48,6,0.37,7,0.49,7,0.43,8,0.43,8,0.48,9,0.60,7,0.43,8,0.57,8,0.51,0.00
D,5,Gabriel,5.0,5.0,Arsenal,76,3.51,73,3.64,70,2.56,68,3.08,69,2.84,66,2.94,68,2.02,66,2.23,67,3.73,64,2.05,68,3.50,68,2.72,0.60
M,6,Havertz,7.5,7.5,Arsenal,73,4.28,70,5.42,64,3.87,60,3.73,59,3.84,61,3.90,59,3.03,59,3.17,58,4.52,60,3.10,62,4.41,59,3.51,0.18
D,7,Holding,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
F,8,G.Jesus,8.0,8.0,Arsenal,0,0.00,0,0.00,26,1.39,73,3.88,74,4.18,73,4.10,72,3.24,71,3.37,71,4.74,73,3.36,70,4.38,70,3.68,0.00
M,9,Jorginho,5.5,5.5,Arsenal,17,0.68,18,0.77,15,0.57,17,0.70,16,0.67,18,0.75,19,0.68,20,0.71,19,0.88,19,0.72,20,0.84,21,0.79,0.00
D,10,Kiwior,4.5,4.5,Arsenal,24,1.02,20,0.91,15,0.47,13,0.46,14,0.47,16,0.64,17,0.51,17,0.52,19,0.90,21,0.65,18,0.79,18,0.63,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,8.0,8.0,Arsenal,82,4.65,78,5.80,75,4.36,71,4.20,71,4.31,69,4.19,69,3.30,69,3.47,67,5.08,70,3.41,68,4.69,67,3.80,0.44
F,13,Nketiah,5.5,5.5,Arsenal,38,2.16,41,2.96,31,1.85,17,1.00,16,1.00,17,1.10,16,0.88,16,0.85,17,1.29,14,0.78,15,1.01,15,0.93,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,86,4.51,85,5.70,83,4.38,82,4.40,80,4.51,81,4.51,80,3.53,81,3.73,79,5.40,80,3.58,78,4.97,79,4.12,0.13
M,15,Thomas,5.0,5.0,Arsenal,71,2.39,69,2.67,68,2.18,65,2.21,65,2.18,60,2.08,62,1.79,62,1.86,61,2.44,61,1.83,60,2.26,60,1.94,0.00
M,16,Pepe,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,5.0,5.0,Arsenal,92,4.06,87,3.79,76,2.95,65,2.76,46,1.85,47,1.95,47,1.68,49,1.82,48,2.35,49,1.83,45,2.09,92,3.66,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,0.08,0.00
M,19,Saka,8.6,8.5,Arsenal,89,5.21,85,6.67,84,5.01,80,4.94,81,5.16,79,5.03,79,3.88,80,4.13,78,6.11,79,3.98,79,5.74,81,4.69,0.98
D,20,Saliba,5.1,5.1,Arsenal,90,3.94,87,3.98,85,2.86,84,3.51,85,3.15,84,3.43,82,2.24,82,2.52,82,4.29,81,2.40,81,3.93,81,2.97,0.44
M,21,Sambi,5.0,5.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.06,2,0.06,1,0.06,1,0.06,2,0.06,0.00
M,22,Smith Rowe,5.5,5.5,Arsenal,8,0.51,11,0.77,10,0.58,8,0.54,10,0.60,11,0.66,10,0.58,11,0.65,13,0.90,11,0.59,11,0.72,12,0.76,0.00
D,23,Tavares,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,24,Tierney,4.5,4.5,Arsenal,9,0.37,7,0.30,5,0.16,4,0.14,4,0.13,3,0.14,4,0.14,4,0.15,4,0.16,4,0.15,5,0.26,4,0.13,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,44,2.20,33,1.76,26,1.09,19,0.90,20,0.85,23,1.10,22,0.77,22,0.85,24,1.32,25,0.89,23,1.19,25,1.05,0.00
M,26,Trossard,7.0,7.0,Arsenal,35,2.19,36,2.84,36,2.26,29,1.84,29,1.91,29,1.90,29,1.64,29,1.70,30,2.37,30,1.71,33,2.41,30,1.91,0.00
D,27,Trusty,4.0,4.0,Sheffield Utd,16,0.51,15,0.25,16,0.58,18,0.36,19,0.47,22,0.56,22,0.58,20,0.45,23,0.32,24,0.92,23,0.50,24,0.84,0.00
G,28,Turner,4.0,4.0,Nott'm Forest,94,3.85,92,2.94,92,2.97,90,3.67,90,2.90,89,3.33,89,3.13,88,3.85,89,2.84,87,3.11,87,2.96,88,3.17,0.97
D,29,White,5.5,5.5,Arsenal,82,3.86,79,3.93,70,2.68,68,3.14,66,2.77,66,2.96,64,1.99,65,2.25,64,3.69,64,2.14,64,3.36,64,2.62,0.01
M,30,Xhaka,6.0,6.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,31,Zinchenko,5.0,5.0,Arsenal,18,0.90,35,1.97,48,2.01,69,3.49,67,3.12,66,3.26,66,2.23,66,2.49,65,4.11,64,2.30,66,3.81,66,2.90,0.00
D,32,Alex Moreno,5.0,5.0,Aston Villa,0,0.00,0,0.00,10,0.27,51,2.64,59,1.94,60,2.67,57,2.75,60,2.91,59,3.71,57,2.78,57,2.99,60,1.93,0.00
F,33,Archer,4.5,4.5,Aston Villa,23,1.36,29,1.57,34,1.54,36,1.69,33,1.44,33,1.63,33,1.58,33,1.60,32,1.55,32,1.64,31,1.55,32,1.60,0.60
M,34,Bailey,5.5,5.5,Aston Villa,59,3.29,54,2.81,55,2.32,55,3.23,51,2.28,51,2.80,48,2.55,49,2.87,50,3.36,49,2.68,47,2.99,48,2.25,0.00
M,35,Buendia,5.9,5.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,36,Cash,4.5,4.5,Aston Villa,86,3.88,82,3.30,79,1.67,77,3.48,76,2.06,75,2.76,74,2.95,74,3.03,72,3.85,73,3.03,72,3.21,72,1.90,0.01
D,37,Chambers,4.0,4.0,Aston Villa,20,0.87,24,0.97,25,0.66,23,1.06,21,0.64,21,0.79,23,0.93,24,0.99,25,1.28,24,1.05,25,1.09,24,0.71,0.00
M,38,Coutinho,6.0,6.0,Aston Villa,24,1.53,31,1.73,31,1.46,29,1.83,25,1.29,21,1.34,20,1.21,21,1.38,23,1.59,21,1.33,23,1.54,23,1.24,0.00
F,39,Davis,5.0,5.0,Aston Villa,2,0.09,4,0.30,5,0.27,4,0.25,2,0.15,2,0.09,2,0.16,3,0.17,3,0.18,3,0.17,3,0.18,2,0.15,0.00
M,40,Dendoncker,5.0,5.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,41,Diego Carlos,4.5,4.5,Aston Villa,37,1.61,43,1.65,43,0.91,39,1.67,37,1.00,38,1.34,38,1.48,37,1.50,37,1.89,38,1.53,39,1.64,39,1.03,0.00
D,42,Digne,4.5,4.5,Aston Villa,77,3.84,73,3.32,67,1.73,39,1.99,35,1.20,33,1.47,35,1.63,34,1.59,35,2.01,36,1.73,37,1.85,34,1.19,0.00
M,43,Douglas Luiz,5.5,5.5,Aston Villa,81,3.33,78,2.98,79,2.41,75,3.14,74,2.42,72,2.83,72,2.76,70,2.89,70,3.40,69,2.77,69,3.06,69,2.31,0.00
F,44,Duran,5.0,5.0,Aston Villa,0,0.00,0,0.00,2,0.11,9,0.58,13,0.63,11,0.68,11,0.64,11,0.64,11,0.76,12,0.67,11,0.74,10,0.54,0.00
D,45,Hause,4.0,4.0,Aston Villa,0,0.00,3,0.09,5,0.12,3,0.14,3,0.11,3,0.13,4,0.13,4,0.17,4,0.21,4,0.17,5,0.18,4,0.10,0.00
M,46,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,47,Kamara,5.0,5.0,Aston Villa,77,2.35,75,2.17,72,1.82,69,2.10,65,1.73,66,1.89,63,1.82,64,1.91,64,2.16,64,1.88,65,2.03,66,1.74,0.00
D,48,Konsa,4.5,4.5,Aston Villa,77,3.38,74,2.89,72,1.49,71,3.02,71,1.89,71,2.47,71,2.76,71,2.81,71,3.63,70,2.80,70,2.95,71,1.83,0.00
G,49,Martinez,5.0,5.0,Aston Villa,93,4.01,93,3.83,92,3.13,92,3.87,91,3.21,91,3.53,90,3.71,90,3.64,91,4.24,91,3.73,91,3.79,90,3.18,0.00
M,50,McGinn,5.5,5.5,Aston Villa,76,2.71,75,2.52,75,2.07,72,2.63,69,2.04,65,2.24,64,2.14,66,2.32,66,2.72,65,2.26,65,2.45,65,1.93,0.00
D,51,Mings,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.01
M,52,Nakamba,4.5,4.5,Luton,0,0.00,78,1.72,76,1.85,74,1.74,75,1.89,75,2.35,74,1.69,72,1.73,72,1.61,71,1.56,68,1.47,72,1.79,0.01
G,53,Olsen,4.0,4.0,Aston Villa,2,0.04,2,0.04,3,0.07,3,0.13,4,0.14,4,0.16,5,0.17,5,0.20,4,0.14,4,0.17,4,0.13,4,0.14,0.00
