Pos,ID,Name,BV,SV,Team,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
D,1,Cédric,4.2,4.2,Arsenal,4,0.12,6,0.26,5,0.15,5,0.39,3,0.13,6,0.45,5,0.26,6,0.18,7,0.36
G,2,Leno,4.5,4.5,Fulham,88,3.73,87,6.70,86,3.13,86,3.17,85,3.06,85,3.71,85,3.15,85,2.98,84,3.15
M,3,Xhaka,5.1,5.1,Arsenal,80,2.65,75,2.60,77,2.45,73,4.60,76,2.73,74,5.11,72,2.96,70,2.02,73,3.04
M,4,Elneny,4.2,4.2,Arsenal,10,0.35,14,0.47,10,0.33,12,0.74,12,0.44,13,0.86,13,0.50,14,0.41,11,0.43
D,5,Holding,4.2,4.2,Arsenal,5,0.20,9,0.31,6,0.18,7,0.48,4,0.18,5,0.40,8,0.33,7,0.23,6,0.30
M,6,Partey,4.8,4.8,Arsenal,81,2.58,77,2.58,78,2.38,75,4.56,74,2.59,75,5.04,73,2.91,71,1.98,72,2.94
M,7,Ødegaard,6.4,6.4,Arsenal,70,3.50,72,3.70,72,3.39,70,6.85,70,3.93,68,7.17,67,4.25,67,2.98,68,4.54
D,8,Tierney,4.7,4.7,Arsenal,34,1.47,32,1.50,27,1.07,25,2.20,24,1.24,28,2.48,28,1.56,32,1.23,28,1.70
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,80,3.05,77,3.12,72,2.37,68,5.26,70,3.29,68,5.41,69,3.50,68,2.38,67,3.74
F,11,Nketiah,6.5,6.5,Arsenal,76,4.25,73,4.26,65,3.56,65,7.30,65,4.06,61,7.56,54,3.90,41,2.10,25,1.97
M,12,Smith Rowe,5.6,5.6,Arsenal,2,0.07,8,0.50,29,1.55,39,4.20,35,2.18,37,4.37,36,2.52,30,1.52,29,2.06
M,13,Saka,8.0,8.0,Arsenal,84,4.87,80,4.93,77,4.25,73,8.70,74,4.95,74,9.44,74,5.53,73,3.92,70,5.82
D,14,Tomiyasu,4.2,4.2,Arsenal,14,0.58,28,1.21,40,1.39,48,3.77,45,2.15,49,3.98,49,2.51,50,1.78,48,2.70
G,15,Ramsdale,4.9,4.9,Arsenal,88,3.65,88,3.71,87,3.41,87,6.58,86,3.89,85,7.10,86,4.33,84,2.95,86,4.22
D,16,Gabriel,5.2,5.1,Arsenal,83,3.52,81,3.61,82,2.91,77,6.66,76,3.90,73,6.36,70,3.83,72,2.69,71,4.28
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Arsenal,6,0.21,8,0.34,4,0.17,6,0.45,5,0.17,6,0.44,6,0.26,7,0.21,6,0.29
M,19,Martinelli,6.8,6.4,Arsenal,84,4.47,80,4.50,80,4.08,77,8.34,74,4.55,74,8.68,71,4.98,69,3.37,70,5.30
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,25,0.98,16,0.71,17,0.67,20,0.80,21,0.80,20,0.80,17,0.63,20,0.71,21,0.84
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.8,4.8,Arsenal,0,0.00,0,0.00,1,0.07,7,0.74,10,0.67,10,1.20,9,0.71,8,0.43,7,0.49
G,24,Turner,3.9,3.9,Arsenal,2,0.08,2,0.09,2,0.08,3,0.19,4,0.14,5,0.38,4,0.16,6,0.18,4,0.20
M,25,Fábio Vieira,5.7,5.7,Arsenal,33,1.68,35,1.86,30,1.50,27,2.66,25,1.38,24,2.66,24,1.52,21,0.97,21,1.34
D,26,Saliba,5.3,5.3,Arsenal,84,3.04,69,2.67,70,2.17,70,5.11,75,3.28,74,5.44,73,3.48,72,2.40,74,3.94
M,27,Marquinhos,4.6,4.6,Arsenal,9,0.52,11,0.66,6,0.31,5,0.55,3,0.15,4,0.50,4,0.26,2,0.12,2,0.17
F,28,Jesus,8.0,8.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,0.42,19,1.32,46,2.18,72,5.18
M,29,Coutinho,6.6,6.6,Aston Villa,22,1.15,44,2.59,45,2.87,42,2.38,42,2.52,41,1.66,39,1.97,43,2.32,41,2.49
F,30,Ings,6.6,6.6,Aston Villa,38,1.89,39,2.40,37,2.61,34,2.03,33,2.13,34,1.51,35,1.85,35,2.02,36,2.33
G,31,Martínez,4.9,4.9,Aston Villa,43,1.57,89,3.83,88,3.61,87,3.50,87,3.62,85,3.03,86,3.13,85,3.42,85,3.61
