Pos,ID,Name,BV,SV,Team,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts
D,1,Cédric,4.2,4.2,Fulham,10,0.44,15,0.46,21,0.87,19,0.68,21,0.65,20,0.23,19,0.90,20,0.84,22,0.82
G,2,Leno,4.5,4.5,Fulham,88,3.90,87,3.26,87,3.74,87,3.35,87,3.26,86,1.40,85,4.15,83,3.59,85,3.53
M,3,Xhaka,4.9,4.9,Arsenal,80,5.61,75,2.67,74,5.62,74,3.17,71,2.55,71,2.79,71,2.77,68,2.17,69,2.40
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,2,0.18,4,0.14,5,0.38,6,0.30,4,0.18,4,0.20,5,0.19,6,0.17,6,0.21
M,6,Partey,4.7,4.7,Arsenal,74,5.01,73,2.55,71,5.22,68,2.85,67,2.35,65,2.53,65,2.48,66,2.08,67,2.26
M,7,Ødegaard,7.0,7.0,Arsenal,81,8.64,79,4.29,78,9.24,79,5.49,78,4.23,75,4.58,76,4.80,74,3.51,75,3.88
D,8,Tierney,4.6,4.6,Arsenal,13,1.12,15,0.74,16,1.63,17,0.94,18,0.83,21,1.21,18,0.96,19,0.69,18,0.82
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,4.7,4.7,Arsenal,68,5.96,67,3.26,65,6.84,66,4.00,67,3.14,66,3.83,66,3.48,66,2.28,66,3.06
F,11,Nketiah,6.8,6.8,Arsenal,82,9.09,80,4.47,72,8.84,64,4.60,47,2.82,41,2.76,39,2.72,37,2.04,38,2.15
M,12,Smith Rowe,5.6,5.6,Arsenal,1,0.15,5,0.34,14,1.72,14,0.94,13,0.81,17,1.06,18,1.17,20,1.10,23,1.33
M,13,Saka,8.3,8.1,Arsenal,84,9.77,82,4.94,79,10.38,78,6.03,76,4.58,73,4.99,72,5.24,73,3.80,71,4.11
D,14,Tomiyasu,4.2,4.2,Arsenal,28,2.38,33,1.56,38,3.79,36,2.03,41,1.87,39,2.14,40,2.02,41,1.40,40,1.81
G,15,Ramsdale,4.9,4.9,Arsenal,89,7.61,87,3.94,86,8.06,86,4.37,86,3.78,85,4.22,85,3.94,85,3.30,85,3.75
D,16,Gabriel,5.2,5.1,Arsenal,85,7.27,81,3.90,78,8.11,79,4.80,76,3.52,77,4.36,74,3.82,75,2.44,76,3.40
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,16,0.60,23,0.82,28,0.96,28,0.94,26,1.68,0,0.00,25,0.92,27,0.90,30,1.05
M,19,Martinelli,6.6,6.3,Arsenal,71,7.88,69,3.97,67,8.38,66,4.83,65,3.78,64,4.25,63,4.32,62,3.16,62,3.48
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
