Pos,ID,Name,BV,SV,Team,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,Elite%
F,1,Balogun,4.5,4.5,Arsenal,2,0.08,7,0.45,14,0.84,15,0.90,13,0.77,13,0.75,16,0.81,14,0.91,14,0.71,17,1.01,14,0.77,15,0.98,0.00
D,2,Cédric,4.0,4.0,Arsenal,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,2,0.05,1,0.04,1,0.05,2,0.04,2,0.05,0.00
M,3,M.Elneny,4.4,4.4,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,4,Fábio Vieira,5.4,5.4,Arsenal,5,0.41,7,0.48,6,0.38,6,0.39,6,0.44,8,0.43,8,0.48,10,0.71,9,0.47,10,0.67,10,0.55,10,0.62,0.00
D,5,Gabriel,4.9,4.9,Arsenal,79,4.11,75,2.88,78,3.60,75,3.11,73,3.27,72,2.27,70,2.33,70,3.99,69,2.13,69,3.61,68,2.79,70,3.60,0.57
M,6,Havertz,7.4,7.4,Arsenal,70,4.96,71,4.19,66,3.94,63,3.96,61,3.81,58,2.90,59,3.07,58,4.38,60,2.93,60,4.20,61,3.48,57,4.00,0.18
D,7,Holding,4.5,4.5,Arsenal,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04,1,0.06,1,0.04,2,0.05,2,0.05,2,0.05,0.00
F,8,G.Jesus,7.9,7.9,Arsenal,0,0.00,25,1.40,74,4.00,76,4.32,75,4.18,73,3.24,70,3.26,71,4.71,72,3.18,71,4.44,73,3.73,72,4.48,0.00
M,9,Jorginho,5.5,5.5,Arsenal,20,0.82,19,0.71,17,0.65,20,0.77,23,0.92,21,0.76,23,0.80,23,1.01,25,0.84,23,0.94,23,0.88,25,1.05,0.00
D,10,Kiwior,4.5,4.5,Arsenal,25,1.18,17,0.57,18,0.72,22,0.84,23,0.94,23,0.72,25,0.83,24,1.30,26,0.81,26,1.31,27,1.08,25,1.26,0.00
M,11,Marquinhos,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,12,Martinelli,8.0,8.0,Arsenal,80,5.80,76,4.64,73,4.44,72,4.59,70,4.42,70,3.45,68,3.47,69,5.34,66,3.27,67,4.82,66,3.85,68,4.87,0.43
F,13,Nketiah,5.6,5.6,Arsenal,55,3.52,30,1.70,16,0.97,16,1.02,16,0.95,19,0.92,18,0.95,18,1.24,15,0.78,17,1.10,17,0.93,15,1.03,0.00
M,14,Ødegaard,8.5,8.5,Arsenal,88,6.22,86,4.98,85,5.04,84,5.20,82,5.03,80,3.80,80,4.00,81,6.06,81,3.83,81,5.60,80,4.51,79,5.49,0.12
M,15,Thomas,5.0,5.0,Arsenal,56,2.13,53,1.75,47,1.66,50,1.72,52,1.82,53,1.59,53,1.63,54,2.18,52,1.56,51,1.95,52,1.70,53,1.98,0.00
M,16,Pepe,4.9,4.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
G,17,Ramsdale,5.0,5.0,Arsenal,89,4.11,85,3.31,83,3.62,84,3.39,81,3.40,80,2.97,78,2.99,76,3.81,73,2.67,73,3.41,90,3.68,73,3.36,0.00
G,18,Rúnarsson,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
M,19,Saka,8.6,8.5,Arsenal,87,6.24,86,5.02,82,4.87,81,5.05,81,4.98,80,3.76,78,3.90,78,5.94,79,3.75,78,5.42,77,4.34,76,5.35,0.98
D,20,Saliba,5.1,5.1,Arsenal,91,4.35,87,3.06,85,3.63,83,3.17,82,3.37,82,2.41,82,2.55,80,4.36,80,2.27,80,3.87,80,3.07,80,3.86,0.44
M,21,Sambi,5.0,5.0,Arsenal,0,0.00,0,0.00,1,0.06,1,0.06,1,0.06,2,0.10,2,0.10,2,0.12,3,0.10,2,0.12,2,0.11,2,0.12,0.00
M,22,Smith Rowe,5.4,5.4,Arsenal,8,0.60,10,0.66,7,0.48,9,0.56,11,0.74,11,0.57,12,0.64,12,0.83,12,0.63,12,0.79,13,0.82,13,0.93,0.00
D,23,Tavares,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.00
D,24,Tierney,4.5,4.5,Arsenal,9,0.47,6,0.26,6,0.23,6,0.27,8,0.33,9,0.30,8,0.27,7,0.39,8,0.29,8,0.43,9,0.36,8,0.42,0.00
D,25,Tomiyasu,4.5,4.5,Arsenal,0,0.00,28,1.21,28,1.38,30,1.38,34,1.60,34,1.24,35,1.34,36,2.18,36,1.25,36,1.95,37,1.64,38,2.06,0.00
M,26,Trossard,6.8,6.8,Arsenal,31,2.40,33,2.14,28,1.85,27,1.94,29,1.98,29,1.60,31,1.76,30,2.39,31,1.70,31,2.39,32,1.99,33,2.44,0.00
D,27,Trusty,4.0,4.0,Sheffield Utd,22,0.38,19,0.65,25,0.45,26,0.55,26,0.68,27,0.74,28,0.59,30,0.42,30,1.04,29,0.52,31,1.03,32,0.90,0.00
