Pos,ID,Name,BV,SV,Team,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
D,32,Cash,4.4,4.4,Aston Villa,61,2.63,59,1.69,59,1.28,58,2.73,57,1.56,58,2.64,55,2.77,55,2.18,56,1.64,56,1.71,56,2.32,58,3.01,0,61,59,59,58,57,58,55,55,56,56,56,58,2.63,1.69,1.28,2.73,1.56,2.64,2.77,2.18,1.64,1.71,2.32,3.01,3.01,61,26.16,688,TRUE,D4.4,D4.5Aston Villa
D,44,Konsa,4.5,4.5,Aston Villa,87,3.16,85,1.99,83,1.43,81,3.38,82,1.83,80,3.16,80,3.47,80,2.76,79,1.92,80,2.05,78,2.77,79,3.5,0.22,87,85,83,81,82,80,80,80,79,80,78,79,3.16,1.99,1.43,3.38,1.83,3.16,3.47,2.76,1.92,2.05,2.77,3.5,3.5,87,31.42,974,TRUE,D4.5,D4.5Aston Villa
D,70,Kerkez,4.4,4.4,Bournemouth,84,2.33,81,1.95,79,2.55,77,2.83,75,2.68,75,2.1,73,2.78,70,2.89,71,1.83,71,3.02,70,2.2,71,3.13,0,84,81,79,77,75,75,73,70,71,71,70,71,2.33,1.95,2.55,2.83,2.68,2.1,2.78,2.89,1.83,3.02,2.2,3.13,3.13,84,30.29,897,TRUE,D4.4,D4.5Bournemouth
D,85,Zabarnyi,4.4,4.4,Bournemouth,88,2.03,86,1.73,84,2.24,82,2.4,81,2.36,82,1.76,79,2.48,79,2.62,78,1.58,77,2.71,78,2.06,78,2.81,0,88,86,84,82,81,82,79,79,78,77,78,78,2.03,1.73,2.24,2.4,2.36,1.76,2.48,2.62,1.58,2.71,2.06,2.81,2.81,88,26.78,972,TRUE,D4.4,D4.5Bournemouth
D,92,Henry,4.3,4.3,Brentford,32,1.42,77,2.39,75,2.65,74,2.47,72,3.17,73,1.9,73,2.3,72,1.51,72,2.9,73,1.89,72,1.95,72,2.49,0,32,77,75,74,72,73,73,72,72,73,72,72,1.42,2.39,2.65,2.47,3.17,1.9,2.3,1.51,2.9,1.89,1.95,2.49,3.17,77,27.04,837,TRUE,D4.3,D4.5Brentford
D,104,Pinnock,4.5,4.5,Brentford,91,3.71,88,2.54,87,2.85,84,2.66,83,3.47,80,1.91,83,2.41,82,1.52,81,3.1,81,1.92,80,2.02,80,2.57,0.05,91,88,87,84,83,80,83,82,81,81,80,80,3.71,2.54,2.85,2.66,3.47,1.91,2.41,1.52,3.1,1.92,2.02,2.57,3.71,91,30.68,1000,TRUE,D4.5,D4.5Brentford
D,120,Dunk,4.5,4.5,Brighton,91,3.96,90,1.69,89,2.04,86,2.45,85,3.85,83,2.56,84,3.17,82,3.45,81,2.62,82,3.22,82,2.23,79,2.24,0.33,91,90,89,86,85,83,84,82,81,82,82,79,3.96,1.69,2.04,2.45,3.85,2.56,3.17,3.45,2.62,3.22,2.23,2.24,3.96,91,33.48,1014,TRUE,D4.5,D4.5Brighton
D,144,Van Hecke,4.5,4.5,Brighton,91,3.6,88,1.54,85,1.85,83,2.2,82,3.39,83,2.38,80,2.82,80,3.07,79,2.32,77,2.81,78,1.95,79,2.1,0,91,88,85,83,82,83,80,80,79,77,78,79,3.6,1.54,1.85,2.2,3.39,2.38,2.82,3.07,2.32,2.81,1.95,2.1,3.6,91,30.03,985,TRUE,D4.5,D4.5Brighton
D,145,Veltman,4.5,4.5,Brighton,62,2.65,60,1.22,58,1.42,57,1.7,56,2.46,53,1.7,55,2.06,52,2.15,53,1.73,55,2.18,55,1.55,53,1.55,0,62,60,58,57,56,53,55,52,53,55,55,53,2.65,1.22,1.42,1.7,2.46,1.7,2.06,2.15,1.73,2.18,1.55,1.55,2.65,62,22.37,669,TRUE,D4.5,D4.5Brighton
D,189,W.Fofana,4.5,4.5,Chelsea,82,2.88,80,2.26,75,2.39,73,2.89,71,2.65,71,2.77,70,1.57,68,2.83,67,2.56,69,2.8,68,2.67,70,2.5,0,82,80,75,73,71,71,70,68,67,69,68,70,2.88,2.26,2.39,2.89,2.65,2.77,1.57,2.83,2.56,2.8,2.67,2.5,2.89,82,30.77,864,TRUE,D4.5,D4.5Chelsea
